Domestic existing building stock and tenure split,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,variable,All stock,Owned or share owned share,Social rented share,Private rented share,Fraction on gas,Fraction fuel poor,,,,,,
,scenario,All,All,All,All,All,All,,,,,,
,year,2020,2020,2020,2020,2020,2020,,,,,,
,sector,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,,,,,,
,,,,,,,,,,,,,
,LSOA Code,All stock,Owner occupied share,Social rented share,Private rented share,Fraction on gas,Fraction fuel poor,LAD20NM,CTYUA19CD,CTYUA19NM,LEP20CD,LEP20NM,Licence area
,E01000090,579,0.6430,0.0729,0.2842,0.9254,0.1570,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000091,736,0.2938,0.5529,0.1532,0.6808,0.1100,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000092,1885,0.4503,0.3477,0.2021,0.5710,0.1240,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000093,739,0.2648,0.5763,0.1589,0.7255,0.1170,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000094,763,0.4739,0.2476,0.2785,0.4739,0.0710,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000095,590,0.5246,0.2678,0.2077,0.8293,0.0990,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000096,527,0.2300,0.6620,0.1080,0.7183,0.1180,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000097,683,0.4011,0.4534,0.1455,0.8254,0.1070,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000098,665,0.4352,0.3536,0.2112,0.8725,0.1430,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000099,983,0.5240,0.3318,0.1441,0.8523,0.1180,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000100,617,0.5285,0.3366,0.1350,0.9532,0.1110,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000101,642,0.5115,0.3598,0.1287,0.9035,0.1160,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000102,715,0.4832,0.3968,0.1200,0.8864,0.1060,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000103,586,0.4450,0.3617,0.1933,0.6963,0.1550,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000104,733,0.3112,0.5751,0.1137,0.7814,0.1000,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000105,1020,0.2984,0.5803,0.1213,0.6455,0.0980,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000106,926,0.2948,0.4705,0.2347,0.5539,0.1080,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000107,615,0.7055,0.1464,0.1481,0.8961,0.1030,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000108,732,0.5936,0.1120,0.2945,0.6427,0.1110,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000109,904,0.6694,0.1530,0.1776,0.8927,0.1280,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000110,521,0.8244,0.0259,0.1497,0.9228,0.1230,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000111,748,0.5246,0.3005,0.1749,0.8223,0.1270,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000112,746,0.6130,0.0758,0.3112,0.6545,0.1270,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000113,651,0.6540,0.0442,0.3017,0.8577,0.1310,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000114,798,0.6623,0.1016,0.2361,0.8306,0.1270,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000115,469,0.9196,0.0124,0.0680,1.0000,0.0940,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000116,618,0.8074,0.0658,0.1268,0.9755,0.0920,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000117,684,0.8255,0.0092,0.1654,0.9666,0.0790,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000118,801,0.8449,0.0268,0.1283,0.9096,0.0890,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000119,622,0.8402,0.0395,0.1203,1.0000,0.1130,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000120,506,0.8931,0.0040,0.1030,0.9882,0.1050,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000121,516,0.4451,0.4790,0.0758,1.0000,0.0850,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000122,543,0.8563,0.0153,0.1284,1.0000,0.1130,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000123,719,0.7708,0.0394,0.1898,0.9642,0.0840,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000124,703,0.4879,0.2621,0.2500,0.9281,0.1000,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000125,997,0.3773,0.3113,0.3113,0.7771,0.1210,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000126,875,0.3127,0.4601,0.2273,0.5667,0.1220,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000127,529,0.4066,0.4319,0.1615,0.9721,0.1720,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000128,637,0.5240,0.2997,0.1763,0.9738,0.1740,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000129,621,0.2756,0.4215,0.3029,0.6935,0.1380,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000130,616,0.4702,0.3544,0.1754,0.7397,0.1450,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000131,772,0.5505,0.1230,0.3265,0.8336,0.1470,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000132,513,0.3980,0.4202,0.1818,0.9750,0.1690,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000133,584,0.3947,0.4779,0.1274,0.9259,0.1860,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000134,613,0.4208,0.3056,0.2736,0.7471,0.1460,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000135,717,0.6654,0.0185,0.3161,0.6835,0.1480,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000136,612,0.6909,0.0053,0.3037,0.6467,0.1650,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000137,713,0.3483,0.4245,0.2272,0.5254,0.1140,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000138,689,0.5832,0.0688,0.3480,0.6809,0.2060,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000139,607,0.6232,0.0464,0.3304,0.6126,0.1440,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000140,816,0.4187,0.1040,0.4773,0.5806,0.1730,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000141,845,0.2917,0.1759,0.5324,0.5754,0.1810,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000142,1062,0.4326,0.0547,0.5126,0.4789,0.1050,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000143,632,0.3123,0.4480,0.2398,0.6423,0.1310,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000144,627,0.3839,0.0198,0.5964,0.5263,0.1520,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000145,477,0.6284,0.0068,0.3649,0.7260,0.2190,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000146,818,0.3333,0.0914,0.5753,0.5371,0.1350,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000147,556,0.7371,0.0184,0.2445,0.8936,0.1900,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000148,1169,0.3917,0.3545,0.2538,0.6864,0.1400,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000150,764,0.6169,0.1384,0.2446,0.5071,0.1440,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000151,625,0.1653,0.7504,0.0843,0.4127,0.1290,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000152,858,0.1844,0.6950,0.1206,0.5011,0.1100,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000153,773,0.2113,0.6871,0.1016,0.6825,0.1070,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000154,740,0.2515,0.5409,0.2076,0.5582,0.1430,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000155,2099,0.2999,0.1242,0.5759,0.1488,0.0940,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000156,727,0.5726,0.0626,0.3648,0.8099,0.1340,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000157,684,0.5806,0.1277,0.2917,0.9619,0.1060,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000158,568,0.6188,0.1613,0.2199,0.8309,0.1450,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000159,660,0.7085,0.1302,0.1612,0.9534,0.1080,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000160,808,0.6013,0.0347,0.3640,0.8400,0.1140,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000161,865,0.5239,0.1042,0.3718,0.8816,0.1050,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000162,555,0.6975,0.0924,0.2101,0.8919,0.1300,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000163,779,0.3913,0.3228,0.2859,0.9582,0.0850,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000164,673,0.4259,0.2932,0.2809,0.9775,0.1250,Barnet,E09000003,Barnet,E37000051,London,EPN
