Domestic existing building stock and tenure split,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,variable,All stock,Owned or share owned share,Social rented share,Private rented share,Fraction on gas,Fraction fuel poor,,,,,,
,scenario,All,All,All,All,All,All,,,,,,
,year,2020,2020,2020,2020,2020,2020,,,,,,
,sector,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,,,,,,
,,,,,,,,,,,,,
,LSOA Code,All stock,Owner occupied share,Social rented share,Private rented share,Fraction on gas,Fraction fuel poor,LAD20NM,CTYUA19CD,CTYUA19NM,LEP20CD,LEP20NM,Licence area
,E01030120,985,0.8007,0.0802,0.1192,0.2599,0.1400,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030121,929,0.7053,0.1597,0.1350,0.6232,0.1080,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030122,873,0.8321,0.0714,0.0965,0.6677,0.1130,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030123,705,0.5402,0.3777,0.0820,0.9784,0.1030,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030124,751,0.8071,0.0164,0.1765,0.8422,0.0730,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030125,628,0.6913,0.2142,0.0945,0.9609,0.0840,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030127,528,0.7198,0.0078,0.2724,0.6692,0.0360,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030128,612,0.7295,0.0164,0.2541,0.9569,0.0360,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030129,583,0.8503,0.0069,0.1429,0.9631,0.0610,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030130,627,0.6446,0.2376,0.1179,0.8261,0.0870,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030131,472,0.2959,0.6371,0.0671,0.8333,0.0960,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030132,482,0.3311,0.0594,0.6096,0.5848,0.1010,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030133,624,0.5330,0.1287,0.3383,0.0879,0.1740,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030134,504,0.6426,0.1830,0.1745,0.0000,0.1170,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030135,555,0.8011,0.0279,0.1710,0.0000,0.1270,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030137,704,0.6445,0.0746,0.2809,0.6861,0.0760,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030138,1005,0.6903,0.1497,0.1600,0.2576,0.1270,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030139,723,0.3399,0.5608,0.0993,0.8362,0.0870,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030140,504,0.6342,0.2724,0.0934,0.9801,0.0820,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030141,635,0.5987,0.2962,0.1050,0.9228,0.0790,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030142,747,0.8709,0.0503,0.0788,0.7551,0.0780,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030143,662,0.6188,0.2209,0.1604,0.8619,0.0670,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030144,567,0.8019,0.1252,0.0729,0.8656,0.0810,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030145,618,0.8177,0.0669,0.1154,0.5845,0.1080,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030146,668,0.6860,0.1780,0.1360,0.5270,0.1180,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030147,741,0.8664,0.0294,0.1043,0.9048,0.0810,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030148,523,0.9049,0.0019,0.0932,0.9594,0.0830,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030149,635,0.8912,0.0160,0.0928,0.9625,0.0820,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030150,927,0.7217,0.1463,0.1320,0.0000,0.1400,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030151,1014,0.7080,0.0535,0.2384,0.0715,0.1260,West Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030152,1503,0.8044,0.0940,0.1016,0.7203,0.1500,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030153,1242,0.6541,0.1805,0.1654,0.7312,0.1710,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030154,989,0.7697,0.0810,0.1494,0.0000,0.1640,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030155,887,0.7474,0.1322,0.1205,0.8889,0.0870,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030158,718,0.9264,0.0074,0.0663,0.8858,0.0920,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030159,690,0.7840,0.0540,0.1620,0.9350,0.1070,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030160,703,0.5236,0.3505,0.1259,0.7355,0.0890,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030161,725,0.5974,0.2128,0.1899,0.9332,0.1330,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030162,800,0.4953,0.1751,0.3297,0.5643,0.1110,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030163,848,0.4863,0.1875,0.3262,0.6760,0.1440,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030164,698,0.8815,0.0262,0.0923,0.8373,0.0880,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030165,950,0.5971,0.0866,0.3163,0.6414,0.1060,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030166,695,0.9080,0.0074,0.0846,0.8348,0.0710,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030167,735,0.7800,0.0296,0.1905,0.6358,0.0950,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030168,672,0.4033,0.4607,0.1360,0.8353,0.0960,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030169,777,0.5107,0.2145,0.2748,0.5638,0.0630,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030170,783,0.4941,0.4084,0.0975,0.8671,0.1260,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030171,808,0.7972,0.0714,0.1314,0.9677,0.0740,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030172,935,0.7686,0.0477,0.1837,0.6768,0.1160,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030173,901,0.6108,0.2289,0.1603,0.6448,0.1530,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030174,586,0.7413,0.0972,0.1615,0.0000,0.1510,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030175,1029,0.7911,0.1138,0.0951,0.4675,0.1130,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030176,979,0.6925,0.1021,0.2054,0.0930,0.1770,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030179,1071,0.7251,0.1025,0.1724,0.8541,0.0440,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030180,574,0.8499,0.0145,0.1356,0.9492,0.0440,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030181,723,0.7541,0.0207,0.2251,0.8907,0.0400,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030183,884,0.9207,0.0057,0.0736,0.9232,0.0670,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030184,854,0.7567,0.1773,0.0660,0.8278,0.0780,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030185,936,0.6005,0.2957,0.1038,0.8468,0.1090,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030186,808,0.7776,0.1371,0.0853,0.5302,0.1470,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030187,704,0.5823,0.2759,0.1418,0.7004,0.1710,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030188,863,0.5696,0.1226,0.3078,0.7745,0.1710,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030189,816,0.6081,0.2612,0.1306,0.8161,0.1470,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030190,972,0.8784,0.0285,0.0931,0.6188,0.0800,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030191,806,0.6782,0.0677,0.2542,0.8353,0.0510,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030192,612,0.8949,0.0033,0.1018,0.9828,0.0410,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030193,833,0.8183,0.0709,0.1108,0.6005,0.1150,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030194,1009,0.6133,0.2155,0.1712,0.5067,0.0870,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030195,695,0.9030,0.0164,0.0806,0.9298,0.0670,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030196,697,0.8390,0.0089,0.1521,0.8275,0.0460,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030197,685,0.8133,0.0333,0.1534,0.4655,0.0900,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030198,643,0.7930,0.0754,0.1316,0.1869,0.1370,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030199,1156,0.6950,0.1100,0.1950,0.0000,0.1510,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030200,950,0.8098,0.0973,0.0928,0.0752,0.1480,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030201,1044,0.7503,0.1019,0.1479,0.0000,0.1790,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030203,995,0.7732,0.1086,0.1181,0.6777,0.0730,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030204,792,0.9451,0.0082,0.0467,0.8723,0.0490,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030205,486,0.9460,0.0043,0.0497,0.9379,0.0500,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030206,548,0.9369,0.0095,0.0536,0.7841,0.0730,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030207,737,0.8544,0.0669,0.0788,0.8069,0.0710,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030208,678,0.6314,0.2133,0.1553,0.3316,0.1920,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030209,1174,0.7353,0.1022,0.1625,0.6250,0.1570,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030210,1034,0.6023,0.3116,0.0860,0.8093,0.1460,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030211,1296,0.6754,0.0943,0.2303,0.6956,0.0910,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030212,1080,0.7567,0.0904,0.1530,0.0000,0.1470,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030214,539,0.8154,0.0207,0.1638,0.9086,0.0570,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030215,806,0.6161,0.2006,0.1833,0.7406,0.0810,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030216,650,0.8788,0.0207,0.1005,0.9087,0.0810,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030217,622,0.7890,0.1028,0.1082,0.6957,0.1350,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030218,604,0.7568,0.0800,0.1632,0.8238,0.1340,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030219,1284,0.7885,0.0919,0.1196,0.0430,0.1790,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030220,1136,0.6528,0.2430,0.1043,0.6241,0.1550,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030221,900,0.8127,0.0780,0.1092,0.0000,0.1410,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030222,1259,0.7779,0.0762,0.1459,0.1746,0.1870,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030223,917,0.5944,0.2328,0.1728,0.7793,0.1160,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030224,832,0.7247,0.1104,0.1649,0.7864,0.1130,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030225,886,0.5426,0.0721,0.3853,0.7526,0.1470,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030226,826,0.7364,0.1331,0.1305,0.8397,0.0860,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030227,646,0.4613,0.4516,0.0871,0.8354,0.1400,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030228,792,0.8054,0.1005,0.0941,0.8838,0.0920,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030229,1096,0.7208,0.1591,0.1201,0.4096,0.1520,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030230,1014,0.5994,0.1307,0.2700,0.6517,0.1680,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030231,693,0.6651,0.2298,0.1050,0.7404,0.1480,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030232,712,0.7610,0.1290,0.1100,0.7808,0.1270,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030233,649,0.9501,0.0031,0.0468,0.9613,0.0800,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030234,693,0.5574,0.2221,0.2205,0.8733,0.0850,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030235,679,0.8716,0.0460,0.0824,0.8919,0.0930,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030236,907,0.7402,0.1286,0.1311,0.8333,0.1120,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030237,1177,0.8551,0.0152,0.1297,0.8132,0.0800,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030238,720,0.8815,0.0167,0.1018,0.9811,0.0510,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030239,733,0.8336,0.0261,0.1403,0.9586,0.0600,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030240,815,0.8134,0.0443,0.1423,0.8215,0.0880,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030241,688,0.7906,0.1153,0.0941,0.6879,0.1330,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030242,627,0.9360,0.0118,0.0522,0.9578,0.0820,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030243,747,0.7470,0.1204,0.1326,0.8355,0.1440,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030244,967,0.6075,0.1980,0.1945,0.7015,0.1390,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030245,834,0.8126,0.0826,0.1048,0.8281,0.1070,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030246,680,0.6388,0.0411,0.3202,0.8434,0.1520,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030247,1050,0.2061,0.4633,0.3306,0.4730,0.1430,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030248,685,0.6359,0.0955,0.2686,0.8482,0.1590,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030249,888,0.4859,0.1299,0.3842,0.7450,0.1830,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030250,1184,0.4007,0.1112,0.4881,0.6683,0.2110,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030251,919,0.8186,0.0571,0.1243,0.6020,0.1490,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030252,870,0.8012,0.0712,0.1276,0.7176,0.1370,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030253,844,0.5883,0.2808,0.1309,0.8827,0.1350,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030254,653,0.5854,0.1089,0.3057,0.9033,0.1560,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030255,522,0.7097,0.1312,0.1590,0.9667,0.1360,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030256,770,0.5586,0.0963,0.3451,0.6052,0.1470,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030257,660,0.7049,0.1617,0.1334,0.8426,0.1400,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030258,953,0.3004,0.1805,0.5192,0.4083,0.1880,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030259,525,0.7979,0.0766,0.1255,0.3077,0.1470,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030260,471,0.7049,0.0281,0.2670,0.3361,0.1540,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030261,613,0.3366,0.5627,0.1007,0.8894,0.1520,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030262,623,0.5813,0.2544,0.1643,0.7788,0.1170,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030263,743,0.8003,0.1291,0.0706,0.8866,0.1030,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030264,645,0.6013,0.1046,0.2941,0.8858,0.1440,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030265,641,0.6422,0.0637,0.2941,0.8054,0.1740,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030266,761,0.6709,0.1716,0.1575,0.6824,0.0780,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030267,880,0.6930,0.2421,0.0649,0.8223,0.0900,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030268,535,0.9187,0.0038,0.0775,0.8803,0.0920,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030269,818,0.8245,0.0199,0.1556,0.7430,0.0810,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030270,747,0.6779,0.1332,0.1889,0.7972,0.1180,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030271,721,0.9112,0.0233,0.0655,0.9461,0.0850,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030272,762,0.8351,0.0213,0.1436,0.7375,0.1350,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030273,760,0.9012,0.0068,0.0920,0.9070,0.0920,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030274,601,0.3732,0.5331,0.0937,0.7671,0.0760,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030275,527,0.8378,0.0616,0.1006,0.9534,0.1010,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030276,662,0.6746,0.0237,0.3017,0.8474,0.1470,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030277,486,0.3667,0.5521,0.0813,0.8626,0.1300,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030278,758,0.7969,0.1401,0.0630,0.9361,0.0900,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030279,594,0.3503,0.5668,0.0829,0.7277,0.1400,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030280,635,0.8926,0.0497,0.0577,0.9006,0.0740,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030281,1041,0.6751,0.2120,0.1129,0.7702,0.0830,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030282,1442,0.6959,0.1846,0.1195,0.7905,0.1760,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030283,677,0.6586,0.2166,0.1248,0.5803,0.1650,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030284,796,0.9080,0.0279,0.0640,0.8337,0.1300,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030285,984,0.8119,0.0811,0.1070,0.0158,0.1620,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030286,915,0.7578,0.0703,0.1719,0.0192,0.1620,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030287,669,0.6895,0.2374,0.0731,0.9396,0.1040,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030288,644,0.9596,0.0065,0.0339,0.9676,0.1030,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030289,670,0.6246,0.2107,0.1647,0.7559,0.1350,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030290,735,0.8685,0.0458,0.0857,0.8632,0.0930,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030291,594,0.5739,0.3345,0.0917,0.8580,0.1380,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030292,655,0.8868,0.0140,0.0992,0.9592,0.0730,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030293,717,0.8629,0.0519,0.0851,0.7038,0.0960,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030294,659,0.7410,0.1607,0.0983,0.9001,0.0860,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030295,1128,0.6707,0.1315,0.1978,0.3361,0.1900,East Suffolk,E10000029,Suffolk,E37000052,New Anglia,EPN
,E01030296,688,0.9060,0.0077,0.0863,0.9285,0.0560,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030297,842,0.8420,0.0158,0.1422,0.8648,0.0600,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030298,654,0.6760,0.2327,0.0913,0.7622,0.0550,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030299,654,0.7928,0.1334,0.0738,0.9340,0.0660,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030300,703,0.5304,0.2579,0.2116,0.7503,0.0630,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030301,651,0.7521,0.0998,0.1481,0.8750,0.0600,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030302,845,0.7159,0.0352,0.2489,0.6692,0.0740,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030303,736,0.8580,0.0116,0.1304,0.8458,0.0530,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030304,726,0.4986,0.3261,0.1753,0.9049,0.0660,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030305,564,0.7462,0.0173,0.2365,0.7865,0.0520,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030306,527,0.7796,0.0229,0.1975,0.7403,0.0640,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030307,754,0.8328,0.0263,0.1409,0.7267,0.0530,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030308,752,0.7659,0.0558,0.1783,0.6903,0.0580,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030309,694,0.7819,0.0452,0.1729,0.7267,0.0590,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030310,798,0.5453,0.2541,0.2005,0.7378,0.0660,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030311,648,0.5997,0.2810,0.1193,0.7735,0.0790,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030312,586,0.6699,0.2066,0.1236,0.9029,0.0830,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030313,788,0.7298,0.1475,0.1227,0.8249,0.0610,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030314,743,0.7318,0.1209,0.1473,0.7515,0.0480,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030315,649,0.8145,0.0818,0.1038,0.9194,0.0630,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030316,663,0.8614,0.0079,0.1307,0.7951,0.0650,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030317,790,0.7210,0.1295,0.1495,0.7284,0.0650,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030318,663,0.4363,0.4193,0.1444,0.4484,0.0870,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030319,696,0.8947,0.0428,0.0625,0.9166,0.0670,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030320,763,0.7684,0.0575,0.1740,0.7280,0.0430,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030321,547,0.9215,0.0105,0.0681,0.8696,0.0540,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030322,732,0.6858,0.1478,0.1664,0.7131,0.0730,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030323,548,0.7939,0.0954,0.1107,0.8043,0.0610,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030324,639,0.8216,0.0751,0.1033,0.9255,0.0600,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030325,584,0.8085,0.1220,0.0695,0.8997,0.0610,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030326,826,0.6331,0.0561,0.3108,0.5976,0.0820,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030327,752,0.7570,0.0218,0.2212,0.7979,0.0600,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030328,639,0.8952,0.0095,0.0952,0.8933,0.0640,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030329,684,0.8678,0.0032,0.1290,0.8175,0.0530,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030330,679,0.8382,0.0183,0.1435,0.8643,0.0530,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030331,689,0.8306,0.0515,0.1178,0.9090,0.0430,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030332,594,0.6931,0.2192,0.0877,0.9647,0.0720,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030333,582,0.8110,0.0515,0.1375,0.9694,0.0560,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
,E01030334,609,0.8287,0.0479,0.1234,0.8820,0.0670,Elmbridge,E10000030,Surrey,E37000046,Enterprise M3,SPN
