Electricity demand for heat (kWh),,,,,,,,,,,,,
"Notes: Data gives all electricity demand for space and hot water heating by LSOA, including new builds and district heating",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,variable,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,,,,
,E01001159,981252.2084,1076017.071,1020720.035,879810.6888,1073155.89,3060914.872,1127094.776,2493611.966,Croydon,Croydon,London,SPN
,E01001160,428441.0838,649988.0943,605752.901,427071.8862,628735.1947,2606703.67,825972.2553,2032506.239,Croydon,Croydon,London,SPN
,E01001161,233993.8663,482544.9507,435350.7256,263595.057,464144.878,2317579.292,723391.7341,1786771.918,Croydon,Croydon,London,SPN
,E01001162,1920653.161,2479907.951,2426846.548,1663189.939,3507506.256,15777550.45,1611275.459,15285765.69,Croydon,Croydon,London,SPN
,E01001163,1549910.291,1435632.794,1384109.472,1334762.637,1432853.082,2910857.717,1316309.403,2445885.184,Croydon,Croydon,London,SPN
,E01001164,2622659.447,4707554.645,4673479.047,4476013.762,7090460.111,15504517.52,11824111.45,17802081.69,Croydon,Croydon,London,SPN
,E01001165,1098856.85,1202431.463,1155395.95,1095955.205,1187382.776,2910754.357,1630159.084,2520894.203,Croydon,Croydon,London,SPN
,E01001166,2180164.871,2008947.876,1952598.325,1985965.475,2020815.661,3438084.072,2206643.822,3108625.997,Croydon,Croydon,London,SPN
,E01001167,1812710.866,2167348.258,2063502.347,1619557.39,1707184.45,4648916.967,1466449.14,2467479.876,Croydon,Croydon,London,SPN
,E01001168,1337684.58,1308425.774,1259334.882,1216624.851,1310282.253,2850552.796,1525373.184,2474177.7,Croydon,Croydon,London,SPN
,E01001169,424512.3576,723801.4231,674241.0493,519798.915,703130.7532,2920752.633,1310309.614,2379229.311,Croydon,Croydon,London,SPN
,E01001170,5798042.084,4484934.316,4426116.937,4836268.505,4535877.985,4248350.552,3552516.21,4113744.957,Croydon,Croydon,London,SPN
,E01001171,3561673.359,2985791.526,2944408.785,3056325.166,3048441.534,4332670.121,2515176.211,3822727.946,Croydon,Croydon,London,SPN
,E01001172,4443312.364,4194304.152,4143190.659,4172681.096,4053193.926,6684629.989,3901462.618,5328212.694,Croydon,Croydon,London,SPN
,E01001173,4498784.524,3655980.582,3579465.326,3728518.379,3672226.173,5033017.689,2680470.37,4343504.498,Croydon,Croydon,London,SPN
,E01001174,464823.4161,551698.3523,508333.6055,418781.1085,558856.2167,1782483.113,649232.6806,1521977.344,Croydon,Croydon,London,SPN
,E01001175,523566.3047,641695.8715,598904.2355,502126.2582,641490.3943,1896998.127,750654.6883,1600562.977,Croydon,Croydon,London,SPN
,E01001176,1901170.229,1681717.451,1636455.238,1650098.509,1668754.928,2798757.966,1550367.187,2391541.503,Croydon,Croydon,London,SPN
,E01001177,1632665.459,1683100.063,1638455.538,1528347.072,1710032.45,3666265.661,1334361.375,3326440.041,Croydon,Croydon,London,SPN
,E01001178,1026596.442,1087433,1069753.719,1213285.228,1194915.157,1887258.616,1868667.408,2090770.422,Croydon,Croydon,London,SPN
,E01001179,319431.5306,462642.0686,416795.6489,301631.3228,458319.3772,1824128.981,596047.9069,1495314.516,Croydon,Croydon,London,SPN
,E01001180,1032972.183,1096377.29,1047413.265,963402.9044,1095618.172,2671787.248,1205280.467,2242739.612,Croydon,Croydon,London,SPN
,E01001181,1907673.832,1933889.497,1906436.175,2124721.465,2076565.488,3086133.484,3093332.557,3484889.265,Croydon,Croydon,London,SPN
,E01001182,396124.8413,650014.5398,630154.7271,665846.5753,728288.9776,1796915.492,1502381.543,1928132.257,Croydon,Croydon,London,SPN
,E01001183,996688.991,1204563.31,1181329.877,1256790.769,1312535.798,2447448.331,2196658.329,2639664.809,Croydon,Croydon,London,SPN
,E01001184,390437.9645,468432.1761,431048.0577,344709.9842,469821.0466,1575327.666,542837.1321,1332251.277,Croydon,Croydon,London,SPN
,E01001185,1864522.186,1622471.537,1570734.249,1609576.094,1620425.39,2408688.25,1413589.943,2149575.259,Croydon,Croydon,London,SPN
,E01001186,2018124.149,1705914.926,1653710.533,1697812.665,1706568.781,2645761.984,1435812.563,2320939.634,Croydon,Croydon,London,SPN
,E01001187,1985944.891,1648393.561,1583592.473,1564211.114,1656011.976,2788934.172,1153077.536,2357468.504,Croydon,Croydon,London,SPN
,E01001188,1010496.477,1039018.898,982462.1985,902904.7534,1032158.474,2550106.407,1103569.028,2130797.694,Croydon,Croydon,London,SPN
,E01001189,218798.2631,359335.1425,321315.6305,213138.2524,377541.4766,1678389.735,477419.2549,1449290.354,Croydon,Croydon,London,SPN
,E01001190,278487.8234,475325.6909,422156.2266,292940.8549,471530.5038,2033995.365,721367.2242,1689704.247,Croydon,Croydon,London,SPN
,E01001191,1939012.578,2036465.264,2002722.106,2231980.358,2238885.234,3595359.842,3419958.878,4001876.808,Croydon,Croydon,London,SPN
,E01001192,1422314.904,1289093.593,1236877.523,1218708.42,1324172.439,2347724.934,1177504.671,2091791.629,Croydon,Croydon,London,SPN
,E01001193,60117.8999,281707.029,230900.7368,119541.5782,287135.5574,1710575.372,730161.8893,1439967.224,Croydon,Croydon,London,SPN
,E01001194,173347.2971,471477.1559,416523.4904,183245.8706,576084.938,3501609.079,571038.2353,3044601.354,Croydon,Croydon,London,SPN
,E01001196,5065020.55,3911731.4,3851798.698,4143130.754,3915588.299,3269094.628,2649959.293,3101937.123,Ealing,Ealing,London,LPN
,E01001239,2706238.213,2373056.408,2328789.568,2444831.279,2250036.686,2420302.92,2381415.767,2006561.594,Ealing,Ealing,London,LPN
,E01001243,8491873.484,5873715.803,5756967.302,6777863.404,5704707.02,4295864.407,4055674.269,3838386.396,Ealing,Ealing,London,LPN
,E01001244,7908037.983,5936753.964,5835264.507,6306992.238,5947428.724,4675106.884,3433217.657,4411560.708,Ealing,Ealing,London,LPN
,E01001245,1309770.387,1753997.135,1719145.373,1851190.589,2060738.671,4032421.776,3705590.869,4586228.425,Ealing,Ealing,London,LPN
,E01001246,8069562.161,7095596.115,7072532.046,6805031.564,6735313.836,5949084.158,6137566.808,7168112.589,Ealing,Ealing,London,LPN
,E01001276,463689.0881,938169.3344,893440.8529,850835.3219,937600.3058,2685906.219,1930935.685,2241062.873,Ealing,Ealing,London,LPN
,E01001277,1199943.355,1438294.383,1412041.1,1513675.411,1581406.021,2953090.584,2730876.497,3222096.362,Ealing,Ealing,London,LPN
,E01001278,2754998.341,2272573.822,2215395.899,2366020.1,2219776.106,2829014.738,2162279.988,2523893.217,Ealing,Ealing,London,LPN
,E01001281,1978754.346,1607092.93,1560959.232,1550622.144,1704567.923,3541660.649,1033697.979,3186797.873,Ealing,Ealing,London,LPN
,E01001308,1504391.307,1559158.237,1505656.741,1437257.6,1467337.647,2662064.592,1473858.332,2164169.344,Ealing,Ealing,London,EPN
,E01001310,447665.9138,1016048.92,991075.7083,1022315.54,1375207.477,3535347.194,2835982.605,3904574.653,Ealing,Ealing,London,EPN
,E01001312,1084621.639,1113742.652,1068688.127,947835.2281,1155680.194,3097179.095,1015046.737,2679149.473,Ealing,Ealing,London,EPN
,E01001313,131548.7175,510274.7092,474571.6896,319669.4821,474348.1276,1829255.964,668378.5909,1469703.372,Ealing,Ealing,London,EPN
,E01001314,300725.0704,446607.3711,404724.3299,282663.2712,450026.4204,1911853.793,557416.6809,1581143.534,Ealing,Ealing,London,EPN
,E01001326,2107892.624,1963085.776,1911578.855,1867088.18,2085945.918,4197833.895,1735939.301,3980939.705,Ealing,Ealing,London,EPN
,E01001342,1106491.605,1404958.303,1376126.427,1491081.308,1717161.803,3311123.345,2845921.309,3720938.172,Ealing,Ealing,London,EPN
,E01001345,206259.4669,406162.6011,365631.1021,191087.5272,413017.797,2262824.071,455328.8231,1785475.123,Ealing,Ealing,London,EPN
,E01001377,625190.83,2143132.621,2115213.476,2004955.035,3524689.291,8581842.51,6808168.735,10215429.65,Ealing,Ealing,London,LPN
,E01001390,376865.7836,812080.6153,780566.81,862049.549,952432.3475,2600365.969,2242508.189,2814617.406,Enfield,Enfield,London,EPN
,E01001391,1452316.692,1247767.853,1200723.386,1233180.549,1266138.493,2115629.623,1202974.622,1942800.079,Enfield,Enfield,London,EPN
,E01001392,432403.3769,602279.5482,547327.9869,420229.7775,604449.3279,2275158.928,816690.6271,1949079.519,Enfield,Enfield,London,EPN
,E01001393,1663379.805,1560914.705,1500142.643,1487489.289,1556830.257,2853623.665,1633298.305,2547739.935,Enfield,Enfield,London,EPN
,E01001394,567856.0337,924527.8069,893547.7058,944006.2815,1076622.806,2631365.932,2195461.075,2868414.899,Enfield,Enfield,London,EPN
,E01001395,1533212.018,1461633.851,1389567.033,1221679.742,1443206.881,2468521.661,791526.2154,2129028.156,Enfield,Enfield,London,EPN
,E01001396,977165.2175,983332.6492,942876.7921,892183.4832,953840.574,2167997.957,1088040.788,1777402.169,Enfield,Enfield,London,EPN
,E01001397,2042402.938,1894847.137,1816670.556,1647708.371,1899229.159,3234627.913,1102100.869,2815645.824,Enfield,Enfield,London,EPN
,E01001398,200770.2597,403345.3475,363757.9594,204683.0746,429694.8686,2248925.59,529116.0212,1887055.383,Enfield,Enfield,London,EPN
,E01001399,246586.2362,472586.1992,433468.0634,272714.1548,455546.7832,2196733.857,674564.6072,1690619.637,Enfield,Enfield,London,EPN
,E01001400,502985.845,745824.8375,704440.3432,473937.1638,840819.6763,3686678.487,777581.2408,3188930.695,Enfield,Enfield,London,EPN
,E01001401,362842.9118,494215.8558,454837.7628,359609.8895,481666.9513,1705808.394,651801.2851,1420630.52,Enfield,Enfield,London,EPN
,E01001402,644829.4085,818510.1738,768294.842,601213.6591,816475.8535,3051459.671,992921.0657,2447684.403,Enfield,Enfield,London,EPN
,E01001403,927497.7425,1029393.168,971270.2658,767087.85,1033652.298,2570964.934,747128.5588,2154483.416,Enfield,Enfield,London,EPN
,E01001404,87492.82354,330518.5654,286554.0378,129025.6633,323367.9145,1996232.952,579136.3905,1597381.588,Enfield,Enfield,London,EPN
,E01001405,3329117.728,2840302.565,2784759.103,2814901.66,3001389.351,5069344.306,2080951.9,4789259.054,Enfield,Enfield,London,EPN
,E01001406,1533865.955,1519502.159,1475119.589,1332506.59,1667666.667,4487552.679,1305236.069,4117325.913,Enfield,Enfield,London,EPN
,E01001407,906763.1553,962491.1034,917714.7187,839069.8042,941006.7491,2282396.822,1104862.778,1872853.845,Enfield,Enfield,London,EPN
,E01001408,322006.0849,796504.5759,765326.951,819727.5848,977961.0962,2832274.207,2296808.421,3052226.838,Enfield,Enfield,London,EPN
,E01001409,5306570.377,4074858.492,4007472.789,4280488.942,4139045.972,4175844.024,2631220.532,3982105.856,Enfield,Enfield,London,EPN
,E01001410,3613257.575,2818698.373,2744995.929,2903119.271,2848754.311,3075562.908,1888187.247,2885388.374,Enfield,Enfield,London,EPN
,E01001411,1000146.313,1692129.443,1666369.104,1637322.376,1785807.599,3457031.302,3042571.432,3742174.733,Enfield,Enfield,London,EPN
,E01001412,2056332.679,1955186.87,1909681.296,1905987.792,1895192.075,3233696.913,2046204.017,2675291.903,Enfield,Enfield,London,EPN
,E01001413,317805.6526,572958.2027,531345.2757,340961.0942,557116.9997,2533965.433,743920.6391,1985487.058,Enfield,Enfield,London,EPN
,E01001414,4586500.73,3529588.298,3495796.554,3797036.951,3554203.076,3234746.087,2487826,3021668.328,Enfield,Enfield,London,EPN
,E01001415,2372032.32,2162780.325,2098173.692,2098479.264,2117665.101,3826997.219,2024398.063,2996438.189,Enfield,Enfield,London,EPN
,E01001416,115132.6325,514207.2197,474121.6898,170666.0404,596207.3208,3897856.645,701655.755,3248294.049,Enfield,Enfield,London,EPN
,E01001417,625614.8309,905886.6699,855769.7649,647557.3022,900506.2369,3532622.287,1099873.051,2688327.274,Enfield,Enfield,London,EPN
,E01001418,310441.9721,588813.4371,531404.5579,320757.6388,571275.9642,2953422.758,834526.3081,2206737.057,Enfield,Enfield,London,EPN
,E01001419,886614.1512,993234.829,932618.1433,804690.3945,962312.3565,2764113.346,1175766.602,2267994.392,Enfield,Enfield,London,EPN
,E01001420,233328.6504,468117.9606,418979.6478,252801.9026,463436.8064,2098010.28,629397.0087,1721996.719,Enfield,Enfield,London,EPN
,E01001421,1626558.539,1595606.596,1533650.781,1414586.624,1561090.004,2705420.058,1345776.902,2261151.628,Enfield,Enfield,London,EPN
,E01001422,732804.5151,877630.2502,830957.2185,704634.3785,846167.6223,2685312.615,1015880.689,2050458.107,Enfield,Enfield,London,EPN
,E01001423,444484.6178,605593.4225,553704.7414,408403.7096,603017.6014,2293402.366,711913.883,1866952.944,Enfield,Enfield,London,EPN
,E01001424,126811.7275,491724.4272,468153.2116,502144.8898,595364.3346,1822038.839,1574004.708,1985834.538,Enfield,Enfield,London,EPN
,E01001425,4597048.222,3638562.92,3555735.998,3633857.103,3589768.863,3218914.263,2026798.138,2893665.855,Enfield,Enfield,London,EPN
,E01001426,1044448.68,1502888.12,1444277.507,1301886.141,1444569.037,4544903.585,3158862.634,4035797.8,Enfield,Enfield,London,EPN
,E01001427,7821252.249,7227725.855,7174724.137,7711218.194,6692241.237,6170661.888,8986995.087,5184065.623,Enfield,Enfield,London,EPN
,E01001428,396806.577,612523.3717,557399.6952,363578.2442,590553.8726,2584360.354,717751.4417,1989371.754,Enfield,Enfield,London,EPN
,E01001429,13132062.2,10933218.5,10901834.71,11038570.59,10234358.46,6784498.947,7120213.981,7045021.441,Enfield,Enfield,London,EPN
,E01001430,487337.6243,827638.3815,796912.9046,863747.2019,950856.2319,2310264.774,1932041.591,2511875.796,Enfield,Enfield,London,EPN
,E01001431,1831886.25,2045539.122,1976333.866,1783385.471,2017658.293,4281652.506,2767288.55,3941373.063,Enfield,Enfield,London,EPN
,E01001432,428588.6727,1127549.262,1094872.46,1154879.565,1233954.216,3597220.649,3216961.616,3777222.547,Enfield,Enfield,London,EPN
,E01001433,1343274.186,1454864.437,1405535.654,1316119.617,1449046.677,2903747.046,1665224.895,2541806.977,Enfield,Enfield,London,EPN
,E01001434,465704.4725,557369.0699,510333.4484,408844.1345,547580.4702,1950763.501,671650.43,1586859.11,Enfield,Enfield,London,EPN
,E01001435,136187.1915,338762.9254,295216.308,169545.3038,331778.9869,1738357.893,557089.5199,1422514.072,Enfield,Enfield,London,EPN
,E01001436,552233.461,714117.9316,659702.1899,523502.1317,695892.6393,2400828.222,922452.9768,1964436.63,Enfield,Enfield,London,EPN
,E01001437,4462890.13,3379983.927,3288767.839,3580545.573,3323561.486,3552013.21,2259475.307,2935378.917,Enfield,Enfield,London,EPN
,E01001438,646416.4476,719179.2889,673651.7354,568615.7368,722208.7909,2246863.539,755595.9123,1816760.748,Enfield,Enfield,London,EPN
,E01001439,2100743.867,1945316.332,1890054.478,1908738.696,1889479.899,3047549.181,2067338.648,2567066.023,Enfield,Enfield,London,EPN
,E01001440,543936.2989,671458.2069,621357.929,511564.138,664686.3786,2103528.133,798701.7375,1731312.427,Enfield,Enfield,London,EPN
,E01001441,2100557.963,1570042.45,1536634.452,1630160.143,1560652.726,2037997.268,996455.199,1707736.901,Enfield,Enfield,London,EPN
,E01001442,3106530.055,2847368.66,2815963.554,2927480.545,2753310.04,2742578.971,2004501.685,2394398.786,Enfield,Enfield,London,EPN
,E01001444,864300.2406,888765.7914,840128.5524,719383.134,899044.2199,2722827.06,789621.9861,2227570.53,Enfield,Enfield,London,EPN
,E01001445,5877150.498,4629573.746,4537193.521,4802840.691,4677512.734,5312622.697,3232418.946,4794101.217,Enfield,Enfield,London,EPN
,E01001446,880273.9053,940755.5673,890452.4666,796841.9967,935493.4125,2519587.676,1066007.331,2101258.137,Enfield,Enfield,London,EPN
,E01001447,1055897.054,1137072.35,1075381.175,996090.8951,1120335.855,2742195.686,1378397.448,2311585.278,Enfield,Enfield,London,EPN
,E01001448,933194.6657,1466962.562,1424334.382,1288278.037,1360259.208,2547049.192,1477247.93,2114880.178,Enfield,Enfield,London,EPN
,E01001449,651995.5034,706651.5304,662315.8338,578556.8045,705784.9965,1952667.358,761035.5636,1618062.771,Enfield,Enfield,London,EPN
,E01001450,12734212.88,11810163.02,11715484.3,11518678.23,12761353.06,26170802.58,9596738.671,25799893.49,Enfield,Enfield,London,EPN
,E01001451,502180.8901,722875.3134,671788.3642,464566.3406,734451.3728,3127726.916,812448.224,2532688.802,Enfield,Enfield,London,EPN
,E01001452,137426.5226,384433.1994,351142.6209,165827.2884,405215.6844,2434506.234,544162.0929,1973007.839,Enfield,Enfield,London,EPN
,E01001453,247176.2493,570696.5979,521210.3507,252087.986,587035.2088,3209656.05,666623.3169,2528400.897,Enfield,Enfield,London,EPN
,E01001454,664168.5389,898032.4167,848267.2327,624646.8183,909060.3837,3362633.942,956721.1013,2657304.152,Enfield,Enfield,London,EPN
,E01001455,83000.00624,347650.5827,299847.1814,132842.8083,343131.4233,2022985.593,611432.5697,1670752.534,Enfield,Enfield,London,EPN
,E01001456,222305.6552,453341.3336,420239.7616,262677.3865,420174.2473,1955769.479,685499.355,1507427.18,Enfield,Enfield,London,EPN
,E01001457,3232697.803,2654890.716,2591294.902,2707489.304,2659118.401,3218863.743,2059859.341,2932237.509,Enfield,Enfield,London,EPN
,E01001458,314302.4903,675229.5546,645558.6464,698547.7237,778303.2491,2189098.394,1860114.467,2378115,Enfield,Enfield,London,EPN
,E01001459,431681.505,634573.5326,586445.427,449899.5661,625516.3183,2371958.286,865739.5656,1929708.207,Enfield,Enfield,London,EPN
,E01001460,1044091.142,981932.4838,919957.2401,833089.8496,986164.5352,2408959.938,889939.0681,2058830.289,Enfield,Enfield,London,EPN
,E01001461,1322748.644,1126342.147,1069641.583,1041936.449,1124664.519,2222439.698,941696.135,1909970.805,Enfield,Enfield,London,EPN
,E01001462,623391.5517,619732.6963,574015.1595,488824.0713,627955.496,1824242.594,584649.5552,1557444.422,Enfield,Enfield,London,EPN
,E01001463,172837.9426,389097.871,346887.2989,195665.573,375897.7634,2015151.446,619561.5451,1602954.048,Enfield,Enfield,London,EPN
,E01001464,131698.5869,351530.6396,312972.2632,157698.865,330946.071,1973542.3,506432.9732,1483471.812,Enfield,Enfield,London,EPN
,E01001465,849749.1464,1263287.072,1218776.571,851790.9555,1594613.755,6829898.71,1261078.961,6449116.343,Enfield,Enfield,London,EPN
,E01001466,188625.356,600174.6137,569874.1856,614519.7946,747136.3957,2338592.247,1876695.798,2523481.496,Enfield,Enfield,London,EPN
,E01001467,154779.5877,868690.3026,838999.2485,816365.9274,1311538.368,3889889.681,2947011.493,4339742.226,Enfield,Enfield,London,EPN
,E01001468,819911.5326,919035.1601,880698.2434,795953.7552,929962.7895,2457920.373,1056367.471,2017059.07,Enfield,Enfield,London,EPN
,E01001469,2169289.381,1934199.403,1882345.29,1950241.479,1872886.198,2499271.905,1992765.928,2186026.954,Enfield,Enfield,London,EPN
,E01001470,531243.2281,784821.6847,736382.8953,491280.7268,892777.555,4184848.563,829178.8537,3625438.348,Enfield,Enfield,London,EPN
,E01001471,2158387.48,3466825.032,3440457.7,3290969.948,3199633.475,4192976.081,3130273.664,3524164.743,Enfield,Enfield,London,EPN
,E01001472,805315.4483,2252504.826,2240446.747,2066818.373,2098754.042,3421351.923,2895337.655,3167926.279,Enfield,Enfield,London,EPN
,E01001473,147123.6253,521143.1889,476680.9345,184181.0913,661698.0733,4228911.688,645380.2545,3696115.442,Enfield,Enfield,London,EPN
,E01001474,3736359.685,3048742.181,2989610.022,3175747.059,3037838.85,3423496.907,2424256.876,3113274.467,Enfield,Enfield,London,EPN
,E01001475,72055.20663,464945.4981,412419.2428,134409.9141,566218.6368,3787254.529,737106.5337,3283675.345,Enfield,Enfield,London,EPN
,E01001476,319868.1371,533328.2409,480560.7051,341370.8271,510666.2564,2167916.75,819959.8613,1767301.984,Enfield,Enfield,London,EPN
,E01001477,216486.1617,454520.5492,398830.6519,253822.7687,453009.0737,2213766.097,793899.846,1834486.523,Enfield,Enfield,London,EPN
,E01001478,214973.7987,429908.2402,383330.3564,238845.7571,415838.1917,2033934.391,676883.8674,1629005.317,Enfield,Enfield,London,EPN
,E01001479,994170.1056,1048500.248,990426.2676,904015.1339,988916.9718,2364248.836,1199020.594,1892498.751,Enfield,Enfield,London,EPN
,E01001480,956953.0496,972651.265,911509.459,762332.1314,962736.7266,2182681.344,707932.5379,1855603.476,Enfield,Enfield,London,EPN
,E01001481,254368.9643,450273.3283,400559.8842,251177.1161,437870.1948,1907537.758,559680.9297,1547877.201,Enfield,Enfield,London,EPN
,E01001482,1038197.639,1104163.506,1032969.568,828861.6647,1097286.688,2652175.817,780835.4203,2255761.098,Enfield,Enfield,London,EPN
,E01001483,4399074.739,3899334.805,3838846.861,3740723.632,3686937.04,2590749.205,1548783.693,2268131.02,Enfield,Enfield,London,EPN
,E01001484,2573587.65,2541460.102,2496205.604,2504743.753,2446466.859,3885639.106,3013461.383,3156995.685,Enfield,Enfield,London,EPN
,E01001485,467875.0019,640475.5617,580021.1894,446383.5235,639997.7654,2449758.397,902384.8862,2043903.407,Enfield,Enfield,London,EPN
,E01001486,332015.2538,591624.4055,521677.8193,357390.813,593166.7143,2633463.779,951489.0128,2220335.498,Enfield,Enfield,London,EPN
,E01001487,167330.9417,649328.1395,613328.9399,663650.4734,788446.5949,2621801.747,2111846.615,2795315.695,Enfield,Enfield,London,EPN
,E01001488,318655.9584,764955.5526,732002.8698,773427.5408,922195.921,2708785.021,2175681.997,2907200.983,Enfield,Enfield,London,EPN
,E01001489,651308.9863,804664.7091,746708.285,619427.5628,781096.0535,2467465.177,1011712.67,2024255.163,Enfield,Enfield,London,EPN
,E01001491,721748.562,809264.0013,748094.3313,640388.7029,819690.2837,2644341.001,937005.4709,2197396.877,Enfield,Enfield,London,EPN
,E01001492,253979.9827,510316.5507,448443.6744,265326.7485,493906.0024,2572083.276,758664.8941,2061150.235,Enfield,Enfield,London,EPN
,E01001493,426875.8966,619850.4267,560169.2492,411892.8287,625727.0406,2495373.562,835182.0965,2096008.713,Enfield,Enfield,London,EPN
,E01001494,99676.24813,318516.7542,275463.3493,132581.6498,314920.2866,1846293.344,558325.7415,1523666.463,Enfield,Enfield,London,EPN
,E01001495,945518.5866,1172825.736,1144520.258,1285885.565,1308754.691,2627583.55,2417831.66,2916132.39,Enfield,Enfield,London,EPN
,E01001496,390967.2416,570735.6628,521942.7537,382830.4441,571360.0321,2274839.557,788705.9036,1911256.342,Enfield,Enfield,London,EPN
,E01001497,198072.5067,392466.0108,347280.0522,203432.6398,397019.516,2056124.58,577519.3405,1705274.817,Enfield,Enfield,London,EPN
,E01001498,2089084.081,2155111.657,2125592.616,2203460.715,2180479.058,3285603.564,3197779.047,3651236.029,Enfield,Enfield,London,EPN
,E01001499,246085.8287,501508.9911,454127.6807,282958.5448,542246.6457,2579480.223,760348.6893,2264750.1,Enfield,Enfield,London,EPN
,E01001500,808981.1718,884556.8452,839291.5355,752330.3553,869258.646,2187126.605,855360.9448,1874272.83,Enfield,Enfield,London,EPN
,E01001501,1995858.41,1744866.238,1686113.164,1657487.788,1805712.645,3723974.122,1484715.842,3259557.437,Enfield,Enfield,London,EPN
,E01001502,1354070.321,1331554.336,1285055.278,1245464.406,1295078.71,2486168.541,1435185.825,2060887.607,Enfield,Enfield,London,EPN
,E01001503,383491.8256,585822.6073,531757.2504,391616.4523,576602.6971,2289650.712,833047.1954,1884911.617,Enfield,Enfield,London,EPN
,E01001504,379206.0815,497761.7714,453851.5528,359413.2624,500396.0485,1760037.324,632691.2942,1485729.052,Enfield,Enfield,London,EPN
,E01001505,859121.175,920707.8225,870438.6599,761454.0801,912311.147,2378337.786,928951.12,1971555.685,Enfield,Enfield,London,EPN
,E01001506,1407887.816,1226448.95,1183920.834,1179891.222,1215547.477,2273521.294,1036094.413,1818246.505,Enfield,Enfield,London,EPN
,E01001507,3006306.405,2426049.363,2354578.301,2455976.75,2446961.788,3035245.071,1762036.135,2724507.615,Enfield,Enfield,London,EPN
,E01001508,1075953.507,1277065.344,1245293.467,1385204.906,1422955.478,2767429.884,2456919.744,3014800.629,Enfield,Enfield,London,EPN
,E01001509,1769909.906,1745588.707,1697065.347,1862093.279,1876718.059,2683661.853,2464205.306,2969322.862,Enfield,Enfield,London,EPN
,E01001510,1758025.1,1627884.239,1610823.303,1827587.896,1740583.322,2026075.588,2245506.124,2259766.385,Enfield,Enfield,London,EPN
,E01001511,2050411.803,2085641.722,2030774.881,2017215.808,1984680.85,3541209.927,2440802.675,2865834.245,Enfield,Enfield,London,EPN
,E01001512,1346666.026,2087470.743,2016802.806,1536693.641,2190437.704,7938035.424,1625820.256,6976272.268,Enfield,Enfield,London,EPN
,E01001513,1431977.934,1575997.22,1521610.453,1419616.317,1527742.331,3454121.79,1914373.249,2756687.19,Enfield,Enfield,London,EPN
,E01001514,373045.2543,783596.5922,752237.8396,808090.5276,898820.2396,2506094.062,2078088.038,2676124.641,Enfield,Enfield,London,EPN
,E01001515,4274831.507,3295618.18,3253391.832,3504113.535,3345781.273,3389503.894,2332807.054,3199273.76,Enfield,Enfield,London,EPN
,E01001516,859776.7018,975912.6217,924520.7154,802811.1146,986831.8232,2879012.159,1116081.095,2466243.465,Enfield,Enfield,London,EPN
,E01001517,359586.9781,592031.946,535282.322,379126.0466,636543.6655,2694374.204,836185.0462,2356974.985,Enfield,Enfield,London,EPN
,E01001518,840380.7184,954495.3364,900538.8363,790909.2427,930826.0953,2548332.196,1123572.112,2080000.185,Enfield,Enfield,London,EPN
,E01001519,4926749.529,5662154.511,5583154.929,5391370.647,5287061.772,6336563.282,4697576.847,5048895.526,Enfield,Enfield,London,EPN
,E01001520,395100.1741,657216.3606,605024.3967,388048.0993,659847.9706,2974635.231,752389.3334,2330053.511,Enfield,Enfield,London,EPN
,E01001521,601262.6015,1290246.402,1253288.425,1024763.863,1169127.729,2561555.116,1233520.708,2041021.799,Enfield,Enfield,London,EPN
,E01001522,957053.8766,1045970.25,982549.3033,786242.607,1051868.65,2464970.357,863759.1493,2095284.764,Enfield,Enfield,London,EPN
,E01001523,1261137.812,1359473.121,1305630.245,1206913.939,1280164.205,2747349.328,1606664.246,2203419.219,Enfield,Enfield,London,EPN
,E01001524,761904.6831,956255.8806,907976.7276,738522.3948,896674.5701,2400703.085,1033560.417,1904064.981,Enfield,Enfield,London,EPN
,E01001525,276760.1579,570868.4654,506188.8107,295341.4647,547772.6633,2805269.544,779871.7382,2205875.69,Enfield,Enfield,London,EPN
,E01001526,123521.8317,422480.8697,369274.4034,170428.1808,415570.7845,2352580.139,698931.3531,1903211.197,Enfield,Enfield,London,EPN
,E01001527,854640.2999,1588870.634,1549490.027,1371503.109,1467100.704,3094442.269,1646353.412,2510884.452,Enfield,Enfield,London,EPN
,E01001528,1714062.627,1435458.64,1387159.085,1430767.377,1352068.921,1945087.298,1112689.719,1696683.543,Enfield,Enfield,London,EPN
,E01001529,1241191.841,1128715.787,1079815.291,1062156.548,1118011.228,2104312.759,1127204.293,1813963.046,Enfield,Enfield,London,EPN
,E01001530,448366.966,630749.0943,580622.2561,450101.1308,627449.2323,2204104.977,843623.5051,1865884.381,Enfield,Enfield,London,EPN
,E01001531,0,1411692.903,1411692.903,1184042.533,1210859.52,2085438.669,1500507.262,1690684.926,Enfield,Enfield,London,EPN
,E01001532,930468.8236,1644184.164,1613934.31,1459156.875,1526593.043,2960422.555,1763904.59,2445645.751,Enfield,Enfield,London,EPN
,E01001533,51046.05501,735234.4502,712337.4776,485572.9796,696407.7782,2556886.456,891459.2603,2125696.179,Enfield,Enfield,London,EPN
