Total heat demand (kWh_th),,,,,,,,,,,,
Notes:,"Figures are for total heat demand in kWh_th of all buildings, including new build ",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,variable,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,,,,
,scenario,Baseline,Consumer Transformation,System Transformation,Leading the Way,Consumer Transformation,System Transformation,Leading the Way,,,,
,year,2020,2030,2030,2030,2050,2050,2050,,,,
,sector,Combined,Combined,Combined,Combined,Combined,Combined,Combined,,,,
,,,,,,,,,,,,
,LSOA code,Total_heat demand_kWhBaseline2020Combined,Total_heat demand_kWhConsumer Transformation2030Combined,Total_heat demand_kWhSystem Transformation2030Combined,Total_heat demand_kWhLeading the Way2030Combined,Total_heat demand_kWhConsumer Transformation2050Combined,Total_heat demand_kWhSystem Transformation2050Combined,Total_heat demand_kWhLeading the Way2050Combined,LAD20NM,CTYUA19NM,LEP20NM,Licence area
,E01000095,10017325.48,12248426.84,12612017.54,11922338.24,13382882.83,13558006.53,13084084.75,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000096,7889520.822,10391649.37,10601083.38,10242165.9,12418771.99,12532862.68,12275719.52,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000097,8551217.723,7825197.896,8126569.297,7711076.376,7634686.246,7819469.967,7641877.793,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000098,10292734.96,9369391.635,9726515.2,9164878.942,8234062.728,8419257.317,8140645.545,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000099,25485191.54,29061909.67,30509685.85,27830212.14,19416223.36,20151161.14,18961734.51,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000100,7844553.516,7188118.405,7475315.744,7011662.538,6614968.047,6780350.441,6575648.834,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000101,7798825.183,7135319.082,7441179.944,6975026.388,6718900.972,6900336.414,6701778.068,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000102,10409329.18,10946107.83,11461560.86,10646671.78,9207992.266,9513518.17,9196128.126,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000103,8578002.857,7837013.211,8126690.712,7678407.57,6928760.012,7072972.654,6896719.718,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000104,10049293.27,9533238.127,9952327.806,9371630.04,8841790.97,9076717.35,8847061.743,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000105,18005294.28,17155104.22,17678857.89,16715842.7,14808044.47,15062797.31,14680905.28,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000106,15530616.84,14512301.36,15081877.27,14295473.73,13543908.61,13847049.62,13538059.55,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000107,7653158.009,7101931.206,7410456.271,6921915.376,6812685.141,6988756.69,6805289.777,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000108,9558163.059,8883389.552,9238382.132,8690593.989,8560505.46,8742023.586,8544949.455,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000109,16260147.83,18700817.33,19673452.66,18119400.2,14987653.79,15536980.55,14950705.9,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000110,6939400.766,6443912.647,6742787.052,6259786.657,6082390.666,6247296.156,6078710.355,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000111,13886467.64,14762451.2,15736554.59,14258648.54,11199200.05,11765476.58,10926670.94,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000112,11074567.24,10239670.98,10623572.73,9986811.643,9658873.472,9807802.675,9646204.353,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000113,4659654.375,5448408.708,6481814.149,6188492.932,6893485.368,9190987.058,9104796.854,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000114,11573470.23,10814270.69,11316904.44,10398060.59,9190421.028,9411207.947,9095950.945,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000115,8700937.853,9644392.115,9990519.215,9156818.429,7548372.507,7759066.136,7445546.277,Barnet,Barnet,London,EPN
,E01000116,11783175.77,13386857.75,14228137.93,12856172.68,9947118.467,10422528.65,9869387.269,Barnet,Barnet,London,EPN
,E01000117,8770191.891,8419554.694,8764096.603,8204400.879,8236036.64,8440546.65,8195273.027,Barnet,Barnet,London,EPN
,E01000118,10148008.15,9659898.785,10096516.34,9384326.055,9351369.981,9604648.629,9327988.187,Barnet,Barnet,London,EPN
,E01000119,8447245.968,7972648.499,8381131.697,7721722.329,7661536.828,7913101.65,7658581.739,Barnet,Barnet,London,EPN
,E01000120,9179912.537,10281740.25,10895757.71,9881399.416,8141147.973,8540000.123,8130974.977,Barnet,Barnet,London,EPN
,E01000121,6143143.847,5744192.669,5980754.959,5632554.581,5588933.212,5743595.629,5578311.24,Barnet,Barnet,London,EPN
,E01000122,13459957.4,17480347.4,18619513.34,16729814.13,11924675.23,12680412.92,11924829.44,Barnet,Barnet,London,EPN
,E01000123,9525167.353,9553610.12,10040308.34,9251416.624,8654314.358,8931706.519,8643860.853,Barnet,Barnet,London,EPN
,E01000124,9856118.842,9468970.422,9894661.629,9214382.093,8225871.407,8502928.564,8126508.729,Barnet,Barnet,London,EPN
,E01000125,16949239.51,16399073.61,16979889.55,15825315.61,13677845.26,13941464.58,13333030.8,Barnet,Barnet,London,EPN
,E01000126,14980185.06,16794286.76,17240385.3,16547494.01,15912421.87,16163230.03,15954353.05,Barnet,Barnet,London,EPN
,E01000127,6489886.841,6066895.683,6294478.96,5980391.526,6039821.532,6186611.171,6041673.815,Barnet,Barnet,London,EPN
,E01000128,8159673.319,8629741.152,8945976.133,8470460.333,9307562.835,9520781.412,9193199.466,Barnet,Barnet,London,EPN
,E01000129,5823380.473,7333556.537,8152841.41,7829694.33,8812358.897,10895703.46,10767748.59,Barnet,Barnet,London,EPN
,E01000130,8667752.453,8137628.457,8434342.493,7996858.89,8039099.377,8188144.3,8044964.501,Barnet,Barnet,London,EPN
,E01000131,9834673.604,10445039.02,10817118.86,10239807.98,10866629.61,11084606.87,10870467.83,Barnet,Barnet,London,EPN
,E01000132,6297168.476,5865924.249,6092973.346,5782439.776,5841050.477,5990282.244,5841517.283,Barnet,Barnet,London,EPN
,E01000133,7478778.295,6961829.647,7228689.444,6862763.156,6928863.666,7098196.548,6930410.022,Barnet,Barnet,London,EPN
,E01000134,8319679.808,8814519.046,9077807.627,8696763.735,9498766.356,9642171.92,9497377.291,Barnet,Barnet,London,EPN
,E01000135,12491242.74,11596513.08,12150635.4,11241574.95,10417034.47,10724967.65,10329505.74,Barnet,Barnet,London,EPN
,E01000136,11756035.23,10814743.18,11343165.78,10447784.26,9640840.587,9928791.788,9546037.196,Barnet,Barnet,London,EPN
,E01000137,13095551.1,12725280.77,13112118.3,12363258.29,10627358.89,10757568.48,10466175.6,Barnet,Barnet,London,EPN
,E01000138,10971445.11,10286129.03,10721583.67,10063324.09,10035206.92,10277933.66,10047083.28,Barnet,Barnet,London,EPN
,E01000139,10149499.96,10444553.24,10853497.05,10177083.92,10163523.17,10358441.36,10113475.25,Barnet,Barnet,London,EPN
,E01000140,8964937.784,9337073.436,10543795.42,10004034.01,10175489.62,13006020.33,12870512.93,Barnet,Barnet,London,EPN
,E01000141,15905618.01,16556580.28,17029790.55,16153992.64,14708837.75,14920910.41,14541379.2,Barnet,Barnet,London,EPN
,E01000142,18058666.62,17857849.03,18469361.23,17578300.8,18377773.87,18680928.48,18395119.53,Barnet,Barnet,London,EPN
,E01000143,11359504.14,12297622.23,12833235.79,11894349.38,10323075.59,10608004.15,10151582.14,Barnet,Barnet,London,EPN
,E01000144,6332399.901,6231798.59,7155322.989,6836468.363,7118147.266,9315292.584,9217149.403,Barnet,Barnet,London,EPN
,E01000145,11040385.6,11378636.19,11824297.97,10928673.63,9514483.787,9723816.994,9281243.504,Barnet,Barnet,London,EPN
,E01000146,10567804.23,10476661.92,11602245.18,10980568.67,10975653.11,13730073.48,13544648.46,Barnet,Barnet,London,EPN
,E01000147,4096878.964,6186052.463,7186731.03,7003322.079,8225025.673,10402454.95,10327546.91,Barnet,Barnet,London,EPN
,E01000148,16884735.48,16828310.33,17475400.03,16518830.17,16552301.96,16881635.98,16466916.28,Barnet,Barnet,London,EPN
,E01000150,16682529.08,16652591.11,17361540.27,16154403.71,14362038.55,14651964.66,14291340.24,Barnet,Barnet,London,EPN
,E01000151,9917670.781,10271584.06,10513352.72,9946596.822,8547867.555,8685803.364,8490306.139,Barnet,Barnet,London,EPN
,E01000152,13317763.5,14497255.42,15126633.39,14177117.13,11953291.27,12349062.3,11987142.34,Barnet,Barnet,London,EPN
,E01000153,13509783.92,14437003.65,15096011.75,14164874.46,12465572.23,12901331.18,12486649.92,Barnet,Barnet,London,EPN
,E01000154,52112089.23,50087410.91,54223997.15,50683236.46,46497164.71,50290947.15,48103784.62,Barnet,Barnet,London,EPN
,E01000155,54893753.15,58311876.57,59670280.79,50647126.1,56128560.5,56574058.44,49693464.85,Barnet,Barnet,London,EPN
,E01000156,5928755.055,6933991.901,8111416.5,7748270.176,8678909.622,11259375.94,11141432.23,Barnet,Barnet,London,EPN
,E01000157,7821723.371,7448255.229,7732786.326,7285129.564,7337608.48,7501503.242,7338260.299,Barnet,Barnet,London,EPN
,E01000158,7941280.562,7500948.839,7805675.153,7319697.141,7252832.767,7413509.516,7223586.744,Barnet,Barnet,London,EPN
,E01000159,8585987.464,8097471.744,8488431.013,7862227.203,7829345.066,8067335.07,7826882.169,Barnet,Barnet,London,EPN
,E01000160,10951129.37,11582406.53,11948561.9,11257461.19,10435915.18,10633004.04,10260834.13,Barnet,Barnet,London,EPN
,E01000161,10915511.23,10216510.79,10638760.12,9988984.604,9795927.365,10059813.47,9706708.004,Barnet,Barnet,London,EPN
,E01000162,7349531.149,7066720.623,7373710.359,6890041.157,6794822.82,6984095.38,6743108.029,Barnet,Barnet,London,EPN
,E01000163,8290738.549,7807261.791,8099828.629,7681338.332,7660442.767,7842484.653,7659461.744,Barnet,Barnet,London,EPN
,E01000164,8666035.343,8218165.844,8534830.175,8043290.706,7642458.748,7820735.388,7604545.69,Barnet,Barnet,London,EPN
,E01000165,7681984.505,7299793.713,7613447.686,7112519.884,7151027.183,7337258.219,7151812.937,Barnet,Barnet,London,EPN
,E01000166,10629440.57,11132592.74,11881586.26,10733644.64,9121517.951,9537781.184,9080263.212,Barnet,Barnet,London,EPN
,E01000167,17391284.98,24387608.05,26089659.49,23367161.16,15875131.44,17020124.84,15876713.61,Barnet,Barnet,London,EPN
,E01000168,7816955.398,7431800.562,7788730.507,7213005.381,7206980.409,7439498.137,7208374.642,Barnet,Barnet,London,EPN
,E01000169,11761434.82,11578005.12,12132945.56,11234037.06,10437920.6,10717827.89,10414837.07,Barnet,Barnet,London,EPN
,E01000170,9781802.945,9203338.141,9609603.458,8965904.348,8828796.163,9053548.825,8814619.916,Barnet,Barnet,London,EPN
,E01000171,17176438.72,15728403.93,16349968.75,15348549.7,14664698.71,14948027.33,14591625.25,Barnet,Barnet,London,EPN
,E01000172,15544074.83,20478820.73,21604967.44,19679365.23,14547979.71,15288670.79,14515146.12,Barnet,Barnet,London,EPN
