Total heat demand (kWh_th),,,,,,,,,,,,
Notes:,"Figures are for total heat demand in kWh_th of all buildings, including new build ",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,variable,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,,,,
,scenario,Baseline,Consumer Transformation,System Transformation,Leading the Way,Consumer Transformation,System Transformation,Leading the Way,,,,
,year,2020,2030,2030,2030,2050,2050,2050,,,,
,sector,Combined,Combined,Combined,Combined,Combined,Combined,Combined,,,,
,,,,,,,,,,,,
,LSOA code,Total_heat demand_kWhBaseline2020Combined,Total_heat demand_kWhConsumer Transformation2030Combined,Total_heat demand_kWhSystem Transformation2030Combined,Total_heat demand_kWhLeading the Way2030Combined,Total_heat demand_kWhConsumer Transformation2050Combined,Total_heat demand_kWhSystem Transformation2050Combined,Total_heat demand_kWhLeading the Way2050Combined,LAD20NM,CTYUA19NM,LEP20NM,Licence area
,E01024214,10683968.78,10339026.58,10783550.43,10056402.28,9379926.968,9608691.09,9312788.663,Dover,Kent,South East,SPN
,E01024215,14146460.73,14856933.82,15273398,14314634.32,12027141.1,12226381.86,11790163.81,Dover,Kent,South East,SPN
,E01024216,8289531.292,8294016.614,8624479.557,8043210.748,7944741.221,8120383.907,7916015.007,Dover,Kent,South East,SPN
,E01024217,19282898.96,18167389.94,18972801.37,17635488.35,17155318.22,17530222.45,17108818.6,Dover,Kent,South East,SPN
,E01024218,15534950.22,21039805.29,22396894.03,20150728.16,13674238.75,14576122.97,13648553.14,Dover,Kent,South East,SPN
,E01024219,8961464.107,8429448.272,8809616.024,8131200.427,7451403.727,7685562.351,7364135.815,Dover,Kent,South East,SPN
,E01024220,18758007.04,17752415.08,18506755.67,16680783.81,10513816.79,10839102.35,9829201.952,Dover,Kent,South East,SPN
,E01024221,15008804.59,18475620.51,18967753.48,17385024.85,13120841.76,13379710.19,12839985.44,Dover,Kent,South East,SPN
,E01024222,9644950.239,9146435.679,9520911.337,8944460.347,8875725.152,9079443.087,8854712.312,Dover,Kent,South East,SPN
,E01024223,9861329.597,10562401.06,10948820.68,10101811.04,8696116.391,8907502.563,8590534.216,Dover,Kent,South East,SPN
,E01024224,9887005.053,9450042.588,9873937.253,9179291.249,9047044.515,9307856.458,9021119.362,Dover,Kent,South East,SPN
,E01024225,9400333.089,9528923.989,10049219.69,9230222.891,8735390.038,9051270.23,8725242.321,Dover,Kent,South East,SPN
,E01024226,8911697.518,9229445.709,9653197.311,8954820.79,8252517.37,8518095.64,8238462.384,Dover,Kent,South East,SPN
,E01024227,9188722.35,8856965.564,9235715.977,8639009.539,8827774.699,9042748.224,8831631.108,Dover,Kent,South East,SPN
,E01024228,16721797.59,15345223.91,15994886.93,14770363.31,13092722.63,13398026.57,12863617.72,Dover,Kent,South East,SPN
,E01024229,9102025.502,8736047.547,9103487.61,8521868.142,8681677.165,8887259.287,8663358.877,Dover,Kent,South East,SPN
,E01024230,7030841.243,8598162.058,10181762.82,9702839.032,11229516.38,14675935.12,14515443.42,Dover,Kent,South East,SPN
,E01024231,12048042.06,11372982.16,11820988.07,11096563.18,11151486.96,11347322.88,11147905.1,Dover,Kent,South East,SPN
,E01024232,22673675.57,21952534.84,22938712.65,21206848.18,20185745.6,20728025.25,20104059.39,Dover,Kent,South East,SPN
,E01024233,8403213.889,8114466.289,8473481.074,7893080.107,8042813.75,8272110.587,8046566.641,Dover,Kent,South East,SPN
,E01024234,11507956.66,10956975.55,11494667.63,10588509.72,10255369.66,10494457.83,10227996.42,Dover,Kent,South East,SPN
,E01024235,8552996.299,8190852.708,8569183.85,7943893.717,7982407.87,8188912.381,7958675.704,Dover,Kent,South East,SPN
,E01024236,21708167.63,24047728.58,24780498.91,21541321.81,20782508.96,21057398.76,19035281.4,Dover,Kent,South East,SPN
,E01024237,15845318.9,15621602.23,16303286.63,15055366.18,14158063,14509695.71,14094689.05,Dover,Kent,South East,SPN
,E01024238,10360779.56,9698652.89,10114490.54,9406366.068,9576049.61,9861921.265,8713720.705,Dover,Kent,South East,SPN
,E01024239,6865406.772,8330869.94,9817400.618,9436861.36,10992845.4,14229124.41,14080332.36,Dover,Kent,South East,SPN
,E01024240,12428222.76,11000155.91,11433424.03,10677624.48,8946156.629,9161862.772,8711435.342,Dover,Kent,South East,SPN
,E01024241,13564712.81,12761642.18,13249003.44,12473809.5,12161575.91,12400603.17,12105140.87,Dover,Kent,South East,SPN
,E01024242,12346780.19,11770517.16,12313391.72,11435324.46,11516123.95,11803058.8,11507810.79,Dover,Kent,South East,SPN
,E01024243,10041191.53,9561993.448,9978780.807,9342966.603,9546945.987,9807288.481,9542773.812,Dover,Kent,South East,SPN
,E01024244,16793238.84,15878556.53,16638615.84,15389607.69,15113848.34,15506118.49,14792015.96,Dover,Kent,South East,SPN
,E01024245,13418482.31,12878818.58,13430947.77,12543640.35,12738777.89,13020475.8,12727548.75,Dover,Kent,South East,SPN
,E01024246,8910444.362,10093964.91,11103934.85,10552085.59,10907428.08,13875982.15,13719556.48,Dover,Kent,South East,SPN
,E01024247,8600383.416,10055023.17,11675426.73,11235505.73,12873636.92,16369875.76,16202185.83,Dover,Kent,South East,SPN
,E01024248,11306973.1,10674743.67,11067097.97,10460974.68,10346613.75,10570746.18,10293736.2,Dover,Kent,South East,SPN
,E01024249,33897852.2,44421389.96,45526297.51,36822376.39,34559946.69,34938854.68,28306686.32,Dover,Kent,South East,SPN
,E01024250,10066002.85,9643162.488,10092044.43,9376236.863,9548585.368,9810735.315,9553836.806,Dover,Kent,South East,SPN
,E01024251,13441749.62,15403223.8,15881862.63,14660485.93,12278057.02,12549952.29,12129271.61,Dover,Kent,South East,SPN
,E01024252,21540455.24,20447225.36,21333272.48,19886992.87,19866036.13,20258179.29,19862055.29,Dover,Kent,South East,SPN
,E01024253,13673602.24,13627711.99,14217138.45,13063474.06,11757286,12106724.42,11628701.4,Dover,Kent,South East,SPN
,E01024254,13229657.72,13050100.76,13617124.21,12624017.79,11914309.85,12239979.96,11833566.4,Dover,Kent,South East,SPN
,E01024255,10073803.49,9663234.46,10118696.59,9382355.912,9458060.034,9746945.035,9462520.58,Dover,Kent,South East,SPN
,E01024256,9029986.247,8675735.548,9082525.036,8421431.507,8534440.147,8778485.569,8533217.51,Dover,Kent,South East,SPN
,E01024257,13854353.55,13734148.59,14463148.19,13653690.6,12768917.09,15645200.91,15431843.8,Gravesham,Kent,South East,SPN
,E01024258,10767547.35,10654482,11224676.69,10243602.4,8682863.4,8959420.633,8537085.528,Gravesham,Kent,South East,SPN
,E01024259,7536173.354,7268553.475,7607107.961,7060647.176,7255326.593,7472034.62,7258481.939,Gravesham,Kent,South East,SPN
,E01024260,13164834.79,12509374.17,13068706.21,12140175.26,12103754.95,12380633.45,12082284.38,Gravesham,Kent,South East,SPN
,E01024261,14518603.9,14447805.97,15168225.57,14020717.18,13433636.19,13854308.49,13401565.26,Gravesham,Kent,South East,SPN
,E01024262,9458101.358,8809993.043,9184780.843,8542367.866,8291965.206,8492062.534,8097590.071,Gravesham,Kent,South East,SPN
,E01024263,10625496.61,11846399.31,12197616.39,11352665.22,9635792.27,9831306.133,9507883.303,Gravesham,Kent,South East,SPN
,E01024264,8779031.764,8252265.701,8614559.448,8019758.586,7715764.913,7927169.677,7640795.772,Gravesham,Kent,South East,SPN
,E01024265,7830142.995,7492919.069,7859073.808,7241422.247,7162608.431,7387120.991,7130406.631,Gravesham,Kent,South East,SPN
,E01024266,6995348.544,6629638.923,6931023.269,6409004.497,6083891.579,6250718.959,6013710.919,Gravesham,Kent,South East,SPN
,E01024267,12571230.62,11590432.34,12093860.21,11257705.67,10870076.57,11086966.32,10820579.45,Gravesham,Kent,South East,SPN
,E01024268,8312269.49,8041488.371,8404078.424,7816153.384,8040237.091,8255604.074,8037489.84,Gravesham,Kent,South East,SPN
,E01024269,10458284.29,10080606.9,10564027.85,9774659.492,9995826.506,10290138.82,9994007.959,Gravesham,Kent,South East,SPN
,E01024270,8703031.322,8407486.253,8771818.496,8176108.751,8243640.695,8433784.317,8232506.197,Gravesham,Kent,South East,SPN
,E01024271,10784022.61,9820651.025,10288788.99,9467489.765,8885694.548,9128804.345,8797346.681,Gravesham,Kent,South East,SPN
,E01024272,8975828.183,8633184.661,9063621.107,8357480.461,8535467.47,8785680.187,8539351.927,Gravesham,Kent,South East,SPN
,E01024273,16345091.42,16666213.65,17643137.22,16024825.39,14656318.64,15119279.53,14662723.95,Gravesham,Kent,South East,SPN
,E01024274,10086637.99,9616111.713,10097291.2,9293307.782,9295111.075,9521522.501,9283586.36,Gravesham,Kent,South East,SPN
,E01024275,6715635.852,6428258.121,6742979.359,6224541.541,6198179.056,6377558.704,6168913.777,Gravesham,Kent,South East,SPN
,E01024276,8764114.979,11121082.89,12163254.89,11658568.27,13346057.83,16270215.55,16116893.92,Gravesham,Kent,South East,SPN
,E01024277,6839713.036,8176271.331,9176614.582,8790957.159,9997307.803,12570978.75,12445713.32,Gravesham,Kent,South East,SPN
,E01024278,8160387.275,9337552.607,10359187.26,9941512.634,10757956.38,13563545.07,13407498.02,Gravesham,Kent,South East,SPN
,E01024279,9321688.006,11149532.31,10812028.79,9845938.982,9513304.532,10632176.89,10394380.49,Gravesham,Kent,South East,SPN
,E01024280,17230865.47,16493600.92,17100900.63,16069162.82,15507617.5,15786527.51,15219076.85,Gravesham,Kent,South East,SPN
,E01024281,12224004.85,15014467.83,15769837.63,14469871,11515244.28,11988863.41,11457584.52,Gravesham,Kent,South East,SPN
,E01024282,4511327.609,5480232.656,6465996.847,6169519.386,7187628.718,9331762.363,9236783.831,Gravesham,Kent,South East,SPN
,E01024283,6090753.575,5865901.839,6125346.814,5717726.825,5896401.13,6050875.932,5904275.786,Gravesham,Kent,South East,SPN
,E01024284,5339333.458,6303984.252,7099634.056,6745184.354,7357883.971,9429339.244,9324799.606,Gravesham,Kent,South East,SPN
,E01024285,6431718.501,6218604.178,6502176.914,6048367.149,6249246.879,6415430.492,6244530.128,Gravesham,Kent,South East,SPN
,E01024286,8811191.022,9281978.675,9808477.82,8963432.815,8178292.722,8492554.083,8158849.346,Gravesham,Kent,South East,SPN
,E01024287,7430902.889,7116302.822,7423570.747,6953902.914,7218860.024,7403816.831,7221147.978,Gravesham,Kent,South East,SPN
,E01024288,6671585.333,6424813.893,6717619.931,6212092.439,6145475.027,6321625.446,6105936.323,Gravesham,Kent,South East,SPN
,E01024290,12417007.75,12680969.57,13225602.34,12173829.99,9867172.277,10128128.51,9564238.235,Gravesham,Kent,South East,SPN
,E01024291,9101702.017,9539506.745,10731622.36,10087205.68,10028083.54,12976530.79,12818129.5,Gravesham,Kent,South East,SPN
,E01024292,8451811.705,8011064.308,8391234.697,7774385.799,7785824.087,8006356.521,7764042.575,Gravesham,Kent,South East,SPN
,E01024293,13891650.51,15516934.48,16400416.15,14818755.21,10732669.27,11206009.65,10480174.71,Gravesham,Kent,South East,SPN
,E01024294,14275245.1,13653508.49,14260751.2,13358315.73,13034654.28,13394071.88,12994362.36,Gravesham,Kent,South East,SPN
,E01024295,25220020.57,30474163.45,31811297.36,29158625.66,20001068.51,20671535.72,19561363.96,Gravesham,Kent,South East,SPN
,E01024296,8364205.984,10464008.6,12359034.9,11915681.11,14125820.15,18376581.07,18248553.02,Gravesham,Kent,South East,SPN
,E01024297,7201396.4,6943022.723,7273647.245,6736617.801,6908341.413,7103914.671,6905283.32,Gravesham,Kent,South East,SPN
,E01024298,10796047.08,13433996.55,14142372.84,12958429.68,10622668.94,11095174.66,10614748.58,Gravesham,Kent,South East,SPN
,E01024299,7089380.689,6817257.538,7131513.889,6625994.541,6760332.267,6954513.499,6752227.034,Gravesham,Kent,South East,SPN
,E01024300,8333803.903,8013085.821,8382450.281,7760024.667,7680706.944,7877729.382,7653473.807,Gravesham,Kent,South East,SPN
,E01024301,9434018.939,8996875.371,9383893.803,8739227.455,8692481.351,8883088.867,8672748.447,Gravesham,Kent,South East,SPN
,E01024302,15968150.02,17375890.91,18145505.03,16290628.86,15568422.77,15912596.66,15049793.88,Gravesham,Kent,South East,SPN
,E01024303,8360422.634,8638089.79,9119582.012,8382839.218,8057541.263,8339725.542,8055129.193,Gravesham,Kent,South East,SPN
,E01024304,10042393.84,11298560.53,11635129.9,10786012.87,9216774.187,9390948.245,9098498.45,Gravesham,Kent,South East,SPN
,E01024305,6772593.482,6377506.294,6610081.647,6303974.286,6558739.416,6704799.896,6563877.367,Gravesham,Kent,South East,SPN
,E01024306,8032292.264,7444869.411,7720041.218,7335347.462,7332329.762,7497573.745,7313033.258,Gravesham,Kent,South East,SPN
,E01024307,7830049.727,7508401.876,7842305.062,7322007.549,7567403.108,7774601.743,7570344.259,Gravesham,Kent,South East,SPN
,E01024308,7458042.45,7068747.759,7326432.261,6981325.639,7277224.677,7446853.777,7280697.654,Gravesham,Kent,South East,SPN
,E01024309,5545452.111,5321392.449,5532537.962,5214012.995,5417984.018,5545946.37,5417936.008,Gravesham,Kent,South East,SPN
,E01024310,9799177.611,10516956.89,11177840.07,10218545.94,9242469.342,9656139.722,9242179.941,Gravesham,Kent,South East,SPN
,E01024311,7209234.453,7716224.572,8107545.002,7516652.814,6817590.423,7054054.14,6807246.87,Gravesham,Kent,South East,SPN
,E01024312,6229981.983,5980310.93,6257339.328,5818560.019,5995572.362,6164357.373,5996828.596,Gravesham,Kent,South East,SPN
,E01024313,7611848.946,7290959.544,7653379.715,7180798.254,7072884.627,7328765.601,7149873.219,Gravesham,Kent,South East,SPN
,E01024314,6348615.537,6131304.302,6408578.171,5958191.726,6075106.45,6234740.578,6072123.081,Gravesham,Kent,South East,SPN
,E01024315,24602115.1,36592828.85,37377465.44,34132720.54,22448516.2,22837872.43,21847901.83,Gravesham,Kent,South East,SPN
,E01024316,12029049.97,11437547.75,11980517.02,11060072.14,10843079.14,11140661.37,10804939.45,Gravesham,Kent,South East,SPN
,E01024317,9105008.087,8666491.745,9062093.076,8372079.72,8046615.319,8262342.759,7986043.803,Gravesham,Kent,South East,SPN
,E01024318,7897125.277,7636234.19,7960411.819,7424429.521,7606789.929,7775608.38,7598907.043,Gravesham,Kent,South East,SPN
,E01024319,7769264.682,7430972.706,7774610.379,7203078.091,7172185.746,7378586.897,7145822.771,Gravesham,Kent,South East,SPN
,E01024320,6849171.812,6713687.431,7007534.686,6522569.454,6692828.759,6875748.58,6692247.636,Maidstone,Kent,South East,SPN
,E01024321,9315492.614,9258616.223,9686069.919,8984815.94,9219533.035,9494568.688,9224011.225,Maidstone,Kent,South East,SPN
,E01024322,6320224.793,6188691.675,6486428.519,6000415.993,6219217.34,6410146.532,6221705.879,Maidstone,Kent,South East,SPN
,E01024323,9747719.421,9391734.762,9816602.513,9096352.338,9117529.576,9360763.871,9089592.828,Maidstone,Kent,South East,SPN
,E01024324,9391368.183,8894381.257,9316744.544,8524764.938,7452053.966,7660091.169,7288734.442,Maidstone,Kent,South East,SPN
,E01024325,16330335.21,15685367.6,16444275.51,15182020.89,15131814.51,15554962.71,15086153.46,Maidstone,Kent,South East,SPN
,E01024326,11186885.76,11540181.06,12035954.75,11112453.48,10811025.19,11121058.07,10772904.38,Maidstone,Kent,South East,SPN
,E01024327,8648763.047,9080631.726,9440839.276,8745905.708,8432491.347,8636318.542,8393920.285,Maidstone,Kent,South East,SPN
,E01024328,12831491.46,12995365.52,13537715.97,12512325.53,11659141.01,11951527.41,11575086.72,Maidstone,Kent,South East,SPN
,E01024329,9797836.606,10157508.21,10584861.37,9758613.69,9224767.676,9502260.612,9169724.635,Maidstone,Kent,South East,SPN
,E01024330,9675106.953,10462285.83,10877400.44,10033993.35,9401641.181,9672348.827,9359326.605,Maidstone,Kent,South East,SPN
,E01024331,10675347.12,10849229.23,11294855.95,10501293.47,10281781.93,10502816.11,10229200.84,Maidstone,Kent,South East,SPN
,E01024332,11574660.61,10890528.55,11384046.73,10577259.61,10459079.47,10645666.95,10441338.96,Maidstone,Kent,South East,SPN
,E01024333,6438618.274,6234432.956,6539792.998,6024759.885,5970419.364,6137962.691,5927591.222,Maidstone,Kent,South East,SPN
,E01024334,4970152.812,4913862.49,5110567.494,4793400.166,4999492.444,5117883.081,5003878.487,Maidstone,Kent,South East,SPN
,E01024335,16017994.09,16468541.67,17276617.33,15878780.07,14110746.81,14542446.02,13905646.27,Maidstone,Kent,South East,SPN
,E01024336,37255202.05,57815512.49,59161136.52,53984815.72,35248023.89,35895268.54,34279969.66,Maidstone,Kent,South East,SPN
,E01024337,12395810.37,16118337.7,16573491.41,15415195.56,11527194.08,11786185.19,11386836.54,Maidstone,Kent,South East,SPN
,E01024338,6567942.276,6438674.96,6748950.127,6239585.284,6459020.906,6658152.069,6464354.836,Maidstone,Kent,South East,SPN
,E01024339,15680287.06,14878677.34,15501674.27,14491229.61,14389612.65,14675916.15,14321715.92,Maidstone,Kent,South East,SPN
,E01024340,20920827.55,20718773.87,21489553.7,20188394.56,19674717.93,19998010.33,19642585.18,Maidstone,Kent,South East,SPN
,E01024341,9876334.272,9684289.532,10116896.88,9400771.05,9755023.54,10017985.69,9759274.105,Maidstone,Kent,South East,SPN
,E01024342,14045611.77,14492682.22,15057512.88,13934937.46,12839261.38,13131553.41,12745029.89,Maidstone,Kent,South East,SPN
,E01024343,11949500.93,13963016.87,14587812.68,13348751.15,11566176,11890402.32,11511764.84,Maidstone,Kent,South East,SPN
,E01024344,9357216.214,10079629.16,10448215.57,9694303.921,9131332.374,9353242.922,9087019.122,Maidstone,Kent,South East,SPN
,E01024345,13977216.82,13583746.35,14210690.96,13125724.75,12625587.74,12859654.2,12584737.51,Maidstone,Kent,South East,SPN
,E01024346,14282186.51,14048243.98,14618718.46,13325007.62,13387378.13,13575974.61,13072059.83,Maidstone,Kent,South East,SPN
,E01024347,16103290,16479555.63,17361446.56,15854105.97,14481496.37,14946142.35,14409684.45,Maidstone,Kent,South East,SPN
,E01024348,7597844.687,8469097.151,8762561.542,8109472.708,7423722.129,7609205.437,7377086.542,Maidstone,Kent,South East,SPN
,E01024349,7721949.89,8225870.671,8516697.509,7946158.566,7660587.503,7822476.22,7631148.611,Maidstone,Kent,South East,SPN
,E01024350,10949833.45,10533757.48,11028665.31,10228182.21,10412505.55,10614336.89,10421023.17,Maidstone,Kent,South East,SPN
,E01024351,10070613.04,10831345.22,11219831.56,10418917.66,9789680.581,10032985.27,9704808.03,Maidstone,Kent,South East,SPN
,E01024352,8062832.05,9421363.361,10867715.25,10415045.72,11801831.1,15066783.02,14935574.21,Maidstone,Kent,South East,SPN
,E01024353,9898309.903,9646645.622,10122128.09,9353911.276,9666427.176,9976090.915,9672350.208,Maidstone,Kent,South East,SPN
,E01024354,8597340.107,9594295.796,10135694.72,9282765.887,8259358.084,8573158.439,8245925.567,Maidstone,Kent,South East,SPN
,E01024355,12729068.21,12382313.72,12888493.35,12064787.21,12358021.24,12615504.38,12345303.72,Maidstone,Kent,South East,SPN
,E01024356,8939482.18,8667799.617,9019653.414,8454909.472,8684748.575,8862283.532,8659409.245,Maidstone,Kent,South East,SPN
,E01024357,4731222.28,6023057.738,7140742.783,6843403.718,8112407.409,10585869.08,10493709.82,Maidstone,Kent,South East,SPN
,E01024358,9678679.949,9384485.554,9770331.128,9170951.548,9470271.087,9697647.047,9453962.34,Maidstone,Kent,South East,SPN
,E01024360,7956207.102,7755687.862,8105733.634,7536747.089,7692223.145,7873752.952,7677010.258,Maidstone,Kent,South East,SPN
,E01024361,12138202.31,12433601.89,13107486.54,12062766.96,11606601.93,11994372.1,11605784.14,Maidstone,Kent,South East,SPN
,E01024362,21816105.33,20892977.88,21841011.06,19864071.04,19557923.96,19893829.7,19165442.21,Maidstone,Kent,South East,SPN
,E01024363,24023081.27,22720626.85,23779117.95,22018123.65,21422143.45,21883937.82,21362236.19,Maidstone,Kent,South East,SPN
,E01024364,17299172.34,17303462.03,18272481.01,16672887.57,15367665.86,15825231.98,15328013.3,Maidstone,Kent,South East,SPN
,E01024365,18123128.11,17275196.02,18102366.07,16696357.39,16283705.83,16700611.16,16215186.99,Maidstone,Kent,South East,SPN
,E01024366,16268108.01,16120588.01,16790322.19,15305669.42,15466500.96,15661631.39,15131337.2,Maidstone,Kent,South East,SPN
,E01024367,10747554.7,10335069.59,10786804.77,9960042.525,9315588.23,9526749.843,9200845.732,Maidstone,Kent,South East,SPN
,E01024369,4349529.702,5547414.998,6569821.378,6254082.259,7418920.038,9647000.898,9526194.906,Maidstone,Kent,South East,SPN
,E01024371,10160818.75,9754624.655,10178741.6,9399720.835,8756472.225,8993761.628,8641068.992,Maidstone,Kent,South East,SPN
,E01024372,18684004.72,17337001.89,18105695.99,16641185.87,13814560.19,14083719.03,13481987.76,Maidstone,Kent,South East,SPN
,E01024373,14065283.55,13485029.3,14039348.84,13193671.12,13521864.5,13822002.47,13489437.53,Maidstone,Kent,South East,SPN
,E01024374,8980201.976,8435560.95,8773111.872,8275198.701,8248932.091,8455331.717,8206346.841,Maidstone,Kent,South East,SPN
,E01024375,19506566.8,18747167.45,19638125.26,18187857.73,18351746.62,18794797.67,18335482.99,Maidstone,Kent,South East,SPN
,E01024376,20219856.6,22313562.4,23328805.71,21400536.05,18560788.38,19137225.24,18482218.37,Maidstone,Kent,South East,SPN
,E01024377,13264687.94,12377145.29,12893586.21,12054358.3,11397533.15,11631834.81,11297631.76,Maidstone,Kent,South East,SPN
,E01024378,10317038.67,9835303.067,10279799.22,9541678.159,9335695.413,9558204.301,9291700.364,Maidstone,Kent,South East,SPN
,E01024379,18133871.04,16967710.81,17729975.33,16432236.75,15922900.63,16162116.05,15858256.98,Maidstone,Kent,South East,SPN
,E01024380,27460932.37,28443491.55,29839186.61,26943061.04,24095255.74,24690498.96,23477717.78,Maidstone,Kent,South East,SPN
,E01024381,11491553.73,11042825.8,11518901.47,10765588.03,10955351.83,11228624.64,10955226.38,Maidstone,Kent,South East,SPN
,E01024382,7565401.699,7331631.72,7610564.516,7183467.416,7416359.87,7552389.409,7407227.805,Maidstone,Kent,South East,SPN
,E01024383,19894818.43,18475935.1,19138651.41,18054358.13,16923231.41,17200003.73,16756863.9,Maidstone,Kent,South East,SPN
,E01024384,11473570.09,11157874.67,11623583.73,10893658.85,11292380.33,11559997.62,11297753.13,Maidstone,Kent,South East,SPN
,E01024385,8339153.442,8164402.978,8529750.322,7945106.115,8238927.267,8478305.632,8246917.823,Maidstone,Kent,South East,SPN
,E01024386,9805075.699,9753543.132,10246364.98,9451780.424,9426122.428,9721887.404,9417848.63,Maidstone,Kent,South East,SPN
,E01024387,28270842.88,27837255.57,29314661.4,26800587.96,25820967.03,26386725.44,25815763.4,Maidstone,Kent,South East,SPN
,E01024388,30698621.1,36179789.65,38148129.39,34786264.6,28755564.8,29889010.01,28410164.73,Maidstone,Kent,South East,SPN
,E01024389,15634418.66,14396329.81,14986627.05,14234243.89,14606739.14,14997689.12,14605415.95,Maidstone,Kent,South East,SPN
,E01024390,10802619.96,11715671.18,12408840.91,11396375.08,9682501.27,10093900.53,9647152.7,Maidstone,Kent,South East,SPN
,E01024391,6443122.485,6550881.918,6795780.565,6413510.891,6303539.729,6463803.514,6296175.973,Maidstone,Kent,South East,SPN
,E01024392,9623120.07,9101286.956,9506653.815,8839715.308,8376176.289,8589546.034,8141453.791,Maidstone,Kent,South East,SPN
,E01024393,11135945.85,12237336.96,12687939.52,11739315.61,10670318.48,10951171.04,10615975.54,Maidstone,Kent,South East,SPN
,E01024394,8023997.428,7732335.666,8102166.993,7441054.422,7059119.084,7288168.499,6987667.261,Maidstone,Kent,South East,SPN
,E01024395,7422884.699,7183675.911,7516680.493,6964749.993,6802100.363,7006756.439,6760402.571,Maidstone,Kent,South East,SPN
,E01024396,7765318.62,7567225.357,7867105.639,7407843.965,7736626.794,7907855.472,7739846.197,Maidstone,Kent,South East,SPN
,E01024397,7510073.568,7301377.725,7560474.574,7187350.878,7562123.329,7709472.119,7566536.084,Maidstone,Kent,South East,SPN
,E01024398,8890601.571,8576363.329,8905123.982,8420401.852,8703440.999,8892408.15,8695502.556,Maidstone,Kent,South East,SPN
,E01024399,7967367.453,7675413.866,7981181.21,7487698.999,7454717.815,7640463.756,7392199.176,Maidstone,Kent,South East,SPN
,E01024400,7627081.809,7402492.495,7749083.537,7183029.968,7260554.836,7456548.06,7243753.98,Maidstone,Kent,South East,SPN
,E01024401,13587210.13,13774000.8,14310291.75,13173329.28,11237047.64,11455251.39,11021309.47,Maidstone,Kent,South East,SPN
,E01024402,10136942.23,9647444.326,10095044.84,9279790.772,8652187.177,8903559.342,8552322.276,Maidstone,Kent,South East,SPN
,E01024403,14687081.12,14973355.25,15609149.39,14499177.28,13273258.31,13604238.9,13223080.76,Maidstone,Kent,South East,SPN
,E01024404,9154467.246,8787427.775,9200679.069,8443773.068,7827761.749,8075587.194,7719230.003,Maidstone,Kent,South East,SPN
,E01024405,18981300.65,18980931.66,19970493.53,18214229.74,16059824.23,16593905.44,15868264.39,Maidstone,Kent,South East,SPN
,E01024406,10353609.65,9761259.689,10220391.48,9413168.378,8666222.562,8890731.005,8518602.785,Maidstone,Kent,South East,SPN
,E01024407,10853035.15,10435143.88,10918209.22,10121926.85,10267396.68,10497995.92,10247871.47,Maidstone,Kent,South East,SPN
,E01024408,8972365.757,8654584.477,9059582.132,8376820.974,8291497.653,8516029.465,8254401.618,Maidstone,Kent,South East,SPN
,E01024409,9556210.536,9168252.63,9593056.037,8863284.009,8624695.368,8868717.722,8542465.726,Maidstone,Kent,South East,SPN
,E01024410,11578404.51,11458275.33,11958691.37,11132169.24,11116767.87,11386846.27,11094131.1,Maidstone,Kent,South East,SPN
,E01024411,10801070.46,10120065.34,10570013.51,9822858.214,9571479.932,9783319.221,9534360.023,Maidstone,Kent,South East,SPN
,E01024413,10769350.6,10153910.11,10601152.7,9864496.957,9795627.612,10023524.65,9720043.635,Sevenoaks,Kent,South East,SPN
,E01024414,8116323.58,7766649.747,8138143.034,7497036.252,7285460.625,7481136.205,7227221.131,Sevenoaks,Kent,South East,SPN
,E01024415,6339684.775,6095946.693,6402939.626,5900051.272,5989766.643,6195392.882,5993120.591,Sevenoaks,Kent,South East,SPN
,E01024416,12149437.9,12232545.33,12748020.06,10867331.11,10838734.39,11101600.64,9826977.879,Sevenoaks,Kent,South East,SPN
,E01024417,16095260.77,14734510.9,15405722.61,13984736.04,10280472.62,10560944.68,9808864.525,Sevenoaks,Kent,South East,SPN
,E01024418,7119413.328,6763977.239,7118625.718,6515774.521,6340418.545,6573687.209,6311496.747,Sevenoaks,Kent,South East,SPN
,E01024419,19823531.05,18411902.73,19278814.1,17809359.55,17320916.84,17593546.48,17160721.01,Sevenoaks,Kent,South East,SPN
,E01024420,17549187.29,16135705.34,16889724.42,15647724.97,15448747.11,15704071.24,15438358.95,Sevenoaks,Kent,South East,SPN
,E01024421,15768689.23,14896216.38,15608743.71,14455468.89,14414136.99,14759186.99,14397240.9,Sevenoaks,Kent,South East,SPN
,E01024422,19778193.32,18620025.8,19460408.55,18078077.13,17462316.07,17827583.33,17367107.08,Sevenoaks,Kent,South East,SPN
,E01024423,11060132.36,10572134.07,11026724.55,10288898.62,10180969.17,10442489.21,10122844.16,Sevenoaks,Kent,South East,SPN
,E01024424,7247323.253,6891018.195,7240892.761,6641246.531,6453435.523,6672513.104,6399288.949,Sevenoaks,Kent,South East,SPN
,E01024425,16276406.09,14757331.71,15471213.22,14165043.51,12166957.81,12455266.23,11904679.59,Sevenoaks,Kent,South East,SPN
,E01024426,12003301.92,11419996.64,11970747.28,11070162.9,10985484.15,11282029.27,10980150.66,Sevenoaks,Kent,South East,SPN
