,On gas,H2,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%,13%,20%,27%,33%,40%,47%,53%,60%,67%,73%,80%,87%,93%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Off gas,HP,0%,1%,2%,3%,5%,7%,11%,17%,24%,31%,37%,44%,51%,57%,64%,71%,77%,84%,91%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,Off gas,Direct Electric,0%,1%,2%,3%,5%,7%,11%,17%,24%,31%,37%,44%,51%,57%,64%,71%,77%,84%,91%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,Off gas,biomass/bio LPG,0%,1%,2%,3%,5%,7%,11%,17%,24%,31%,37%,44%,51%,57%,64%,71%,77%,84%,91%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,Off gas,H2,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steady Progression,On gas,HP,0%,1%,1%,1%,2%,2%,3%,4%,4%,5%,5%,6%,6%,7%,8%,8%,9%,10%,10%,11%,12%,13%,14%,15%,16%,18%,19%,21%,23%,27%,33%,,,,,,,,,,,,,,,,
,On gas,Direct Electric,0%,1%,1%,1%,2%,2%,3%,4%,4%,5%,5%,6%,6%,7%,8%,8%,9%,10%,10%,11%,12%,13%,14%,15%,16%,18%,19%,21%,23%,27%,33%,,,,,,,,,,,,,,,,
,On gas,biomass/bio LPG,0%,1%,1%,1%,2%,2%,3%,4%,4%,5%,5%,6%,6%,7%,8%,8%,9%,10%,10%,11%,12%,13%,14%,15%,16%,18%,19%,21%,23%,27%,33%,,,,,,,,,,,,,,,,
,On gas,H2,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%,13%,20%,27%,33%,40%,47%,53%,60%,67%,73%,80%,87%,93%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Off gas,HP,0%,1%,2%,3%,4%,5%,7%,9%,11%,15%,21%,28%,35%,41%,48%,55%,61%,68%,75%,81%,88%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,Off gas,Direct Electric,0%,1%,2%,3%,4%,5%,7%,9%,11%,15%,21%,28%,35%,41%,48%,55%,61%,68%,75%,81%,88%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,Off gas,biomass/bio LPG,0%,1%,2%,3%,4%,5%,7%,9%,11%,15%,21%,28%,35%,41%,48%,55%,61%,68%,75%,81%,88%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,Off gas,H2,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario,tenure,EE package,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,,,,,,,,,,,,,,
Consumer Transformation,Owner occupier,building Fabric,0%,1%,1%,2%,3%,5%,8%,12%,18%,27%,38%,50%,62%,73%,82%,88%,92%,95%,97%,98%,99%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,Owner occupier,hot water,0%,1%,1%,2%,3%,5%,8%,12%,18%,27%,38%,50%,62%,73%,82%,88%,92%,95%,97%,98%,99%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,Owner occupier,both,0%,1%,1%,2%,3%,5%,8%,12%,18%,27%,38%,50%,62%,73%,82%,88%,92%,95%,97%,98%,99%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Private rented,building Fabric,10%,15%,22%,32%,44%,56%,68%,78%,85%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,Private rented,hot water,10%,15%,22%,32%,44%,56%,68%,78%,85%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,Private rented,both,10%,15%,22%,32%,44%,56%,68%,78%,85%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System Transformation,Owner occupier,building Fabric,0%,0%,0%,0%,0%,1%,1%,2%,3%,5%,8%,12%,18%,27%,38%,50%,62%,73%,82%,88%,92%,95%,97%,98%,99%,99%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,Owner occupier,hot water,0%,0%,0%,0%,0%,1%,1%,2%,3%,5%,8%,12%,18%,27%,38%,50%,62%,73%,82%,88%,92%,95%,97%,98%,99%,99%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,Owner occupier,both,0%,0%,0%,0%,0%,1%,1%,2%,3%,5%,8%,12%,18%,27%,38%,50%,62%,73%,82%,88%,92%,95%,97%,98%,99%,99%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Private rented,building Fabric,5%,8%,12%,18%,27%,38%,50%,62%,73%,82%,88%,92%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,Private rented,hot water,5%,8%,12%,18%,27%,38%,50%,62%,73%,82%,88%,92%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,Private rented,both,5%,8%,12%,18%,27%,38%,50%,62%,73%,82%,88%,92%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading the Way,Owner occupier,building Fabric,1%,2%,3%,5%,8%,12%,18%,27%,38%,50%,62%,73%,82%,88%,92%,95%,97%,98%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,Owner occupier,hot water,1%,2%,3%,5%,8%,12%,18%,27%,38%,50%,62%,73%,82%,88%,92%,95%,97%,98%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,Owner occupier,both,1%,2%,3%,5%,8%,12%,18%,27%,38%,50%,62%,73%,82%,88%,92%,95%,97%,98%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Private rented,building Fabric,15%,22%,32%,44%,56%,68%,78%,85%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,Private rented,hot water,15%,22%,32%,44%,56%,68%,78%,85%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,Private rented,both,15%,22%,32%,44%,56%,68%,78%,85%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steady Progression,Owner occupier,building Fabric,0%,0%,0%,0%,0%,1%,1%,2%,3%,5%,8%,12%,18%,27%,38%,50%,62%,73%,82%,88%,92%,95%,97%,98%,99%,99%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,Owner occupier,hot water,0%,0%,0%,0%,0%,1%,1%,2%,3%,5%,8%,12%,18%,27%,38%,50%,62%,73%,82%,88%,92%,95%,97%,98%,99%,99%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,Owner occupier,both,0%,0%,0%,0%,0%,1%,1%,2%,3%,5%,8%,12%,18%,27%,38%,50%,62%,73%,82%,88%,92%,95%,97%,98%,99%,99%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Private rented,building Fabric,5%,8%,12%,18%,27%,38%,50%,62%,73%,82%,88%,92%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,Private rented,hot water,5%,8%,12%,18%,27%,38%,50%,62%,73%,82%,88%,92%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,Private rented,both,5%,8%,12%,18%,27%,38%,50%,62%,73%,82%,88%,92%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
